! CMS 8 TeV jets, 19.71 fb-1
! Data correspond to CMS Paper SMP-12-012
!
! Separate data and theory files for each Y bin
! Central values and covariance matrices for each 
! uncertainty source (including statistical
! correlations) are provided separately.
!
! Provided by Sanmay Ganguly on 30.03.15
! Asymm uncertainties are given by Sanmay on 22.04.15
! RelativeStatFSR is given by Sanmay on 02.06.15
! New NP corrections and uncertainties are given by Salim on 06.06.15
&Data
  Name = 'CMS inclusive jets 8 TeV, 1.5 < |y| < 2.0'
  Reaction = 'pp jets fastNLO'

  NDATA = 40
  NColumn = 63
  ColumnType = 'Flag','Bin', 'Bin', 'Bin', 'Bin', 'Sigma', 'Dummy', 'Error', 'Error', 'Error', 52*'Error', 'Error'
  ColumnName = 'binFlag','ylow', 'yhigh', 'ptlow', 'pthigh', 'Sigma', 'NPCorr', 'npcorerr+', 'npcorerr-', 'ignore', 'Unfolding+', 'Unfolding-', 'AbsoluteStat+', 'AbsoluteStat-', 'AbsoluteScale+', 'AbsoluteScale-', 'AbsoluteMPFBias+', 'AbsoluteMPFBias-', 'Fragmentation+', 'Fragmentation-', 'SinglePionECAL+', 'SinglePionECAL-', 'SinglePionHCAL+', 'SinglePionHCAL-', 'FlavorQCD+', 'FlavorQCD-', 'RelativeJEREC1+', 'RelativeJEREC1-', 'RelativeJEREC2+', 'RelativeJEREC2-', 'RelativeJERHF+', 'RelativeJERHF-', 'RelativePtBB+', 'RelativePtBB-', 'RelativePtEC1+', 'RelativePtEC1-', 'RelativePtEC2+', 'RelativePtEC2-', 'RelativePtHF+', 'RelativePtHF-', 'RelativeFSR+', 'RelativeFSR-', 'RelativeStatEC2+', 'RelativeStatEC2-', 'RelativeStatHF+', 'RelativeStatHF-', 'PileUpDataMC+', 'PileUpDataMC-', 'PileUpPtRef+', 'PileUpPtRef-', 'PileUpPtBB+', 'PileUpPtBB-', 'PileUpPtEC1+', 'PileUpPtEC1-', 'PileUpPtEC2+', 'PileUpPtEC2-', 'PileUpPtHF+', 'PileUpPtHF-','RelativeStatFSR+','RelativeStatFSR-', 'Luminosity', 'stat', 'uncor'
  NInfo = 4
  DataInfo = 8000., 1., -1., -1.
  CInfo = 'sqrt(S)', 'PublicationUnits', 'MurDef', 'MufDef'

  IndexDataset = 205
!  TheoryInfoFile = 'datafiles/lhc/cms/jets/8TeV/fnl3332y3.tab'
  TheoryType = 'expression'
  TermName = 'F','K'
  TermType = 'fastnlo','kfactor'
  TheorExpr = 'K*F'
  TermSource = 'datafiles/lhc/cms/jets/1609.05331/fnl3332y3.tab','datafiles/lhc/cms/jets/1609.05331/npcorr_Ybin4.dat'
  Percent = True, True, False, 52*True, True
&End
&PlotDesc
  PlotN = 1
  PlotDefColumn = 'ylow'
  PlotDefValue = 1.25, 1.75
  PlotVarColumn = 'ptlow'
  PlotOptions(1) = 'Title:CMS 8 TeV inclusive jets@XTitle:p_{T}^{jet} (GeV)@YTitle:d#sigma/dp_{T}^{jet} (pb/GeV)@Xmin:66.6@Xmax:1551@Ymin:1.74573e-07@Ymax:26730.4@YminR:0.5@YmaxR:1.5@Xlog@Ylog'
&End
* Flag      ylow      yhigh      ptlow     pthigh    cross_sec     npcorr  npcorr_e+  npcorr_e-   stat_abs Unfolding+ Unfoldingm   AbsStat+   AbsStat-  AbsScale+  AbsScale-   AbsMPFB+   AbsMPFB-     Fragm+     Fragm-   SiPionE+   SiPionE-   SiPionH+   SiPionH- FlavorQCD+ FlavorQCD- RelJEREC1+ RelJEREC1- RelJEREC2+ RelJEREC2-  RelJERHF+  RelJERHF-   RelPtBB+   RelPtBB-  RelPtEC1+  RelPtEC1-  RelPtEC2+  RelPtEC2-   RelPtHF+   RelPtHF-    RelFSR+    RelFSR- RelStaEC2+ RelStaEC2-  RelStaHF+  RelStaHF- PU_DataMC+ PU_DataMC-  PU_PtRef+  PU_PtRef-   PU_PtBB+   PU_PtBB-  PU_PtEC1+  PU_PtEC1-  PU_PtEC2+  PU_PtEC2-   PU_PtHF+   PU_PtHF- RelStaFSR+ RelStaFSR-       lumi       stat uncor
0        1.5        2.0         18         21      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         21         24      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         24         28      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         28         32      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         32         37      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         37         43      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         43         49      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         49         56      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         56         64      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
0        1.5        2.0         64         74      24300.4      1.162     0.7649    -0.7649      183.8      4.568     -5.004    -0.2188  -0.006139     0.3384    -0.5089      1.069    -0.4779     0.2564    -0.4809    -0.2049     0.0335    -0.2425    0.09376      4.328     -4.171    0.06531    -0.1042          0          0 -0.0002205 -0.0002205 -0.0002205 -0.0002205     -3.188      2.264          0          0 -0.0002205 -0.0002205     0.3574    -0.5116          0          0 -0.0002205 -0.0002205   0.001621  -0.001657  -0.003207   0.007164          0          0   -0.03057    0.02836          0          0          0          0        999       -999        2.6   0.756304    1
