#: table_doi: 10.17182/hepdata.83701.v1/t15
#: name: Table 15
#: description: Correlation matrix for the unfolded cross section.
#: data_file: data15.yaml
#: data_license:   
#: keyword reactions: P P --> (W+ + W-) Z0 X
#: keyword observables: DSIG/DELTAPHIWZ
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],,,,,13000.0
#: .,,,,,Correlation matrix
"$\Delta\phi(W,Z)$ [rad]","$\Delta\phi(W,Z)$ [rad] LOW","$\Delta\phi(W,Z)$ [rad] HIGH","$\Delta\phi(W,Z)$ [rad]","$\Delta\phi(W,Z)$ [rad] LOW","$\Delta\phi(W,Z)$ [rad] HIGH",
0.3,0.0,0.6,0.3,0.0,0.6,1.00
0.9,0.6,1.2,0.3,0.0,0.6,0.47
1.5,1.2,1.8,0.3,0.0,0.6,0.44
2.05,1.8,2.3,0.3,0.0,0.6,0.49
2.55,2.3,2.8,0.3,0.0,0.6,0.50
3.0,2.8,3.2,0.3,0.0,0.6,0.30
0.3,0.0,0.6,0.9,0.6,1.2,0.47
0.9,0.6,1.2,0.9,0.6,1.2,1.00
1.5,1.2,1.8,0.9,0.6,1.2,0.62
2.05,1.8,2.3,0.9,0.6,1.2,0.56
2.55,2.3,2.8,0.9,0.6,1.2,0.54
3.0,2.8,3.2,0.9,0.6,1.2,0.32
0.3,0.0,0.6,1.5,1.2,1.8,0.44
0.9,0.6,1.2,1.5,1.2,1.8,0.62
1.5,1.2,1.8,1.5,1.2,1.8,1.00
2.05,1.8,2.3,1.5,1.2,1.8,0.72
2.55,2.3,2.8,1.5,1.2,1.8,0.62
3.0,2.8,3.2,1.5,1.2,1.8,0.33
0.3,0.0,0.6,2.05,1.8,2.3,0.49
0.9,0.6,1.2,2.05,1.8,2.3,0.56
1.5,1.2,1.8,2.05,1.8,2.3,0.72
2.05,1.8,2.3,2.05,1.8,2.3,1.00
2.55,2.3,2.8,2.05,1.8,2.3,0.74
3.0,2.8,3.2,2.05,1.8,2.3,0.26
0.3,0.0,0.6,2.55,2.3,2.8,0.50
0.9,0.6,1.2,2.55,2.3,2.8,0.54
1.5,1.2,1.8,2.55,2.3,2.8,0.62
2.05,1.8,2.3,2.55,2.3,2.8,0.74
2.55,2.3,2.8,2.55,2.3,2.8,1.00
3.0,2.8,3.2,2.55,2.3,2.8,0.46
0.3,0.0,0.6,3.0,2.8,3.2,0.30
0.9,0.6,1.2,3.0,2.8,3.2,0.32
1.5,1.2,1.8,3.0,2.8,3.2,0.33
2.05,1.8,2.3,3.0,2.8,3.2,0.26
2.55,2.3,2.8,3.0,2.8,3.2,0.46
3.0,2.8,3.2,3.0,2.8,3.2,1.00

