#: table_doi: 10.17182/hepdata.83701.v1/t13
#: name: Table 13
#: description: Correlation matrix for the unfolded cross section.
#: data_file: data13.yaml
#: data_license:   
#: keyword reactions: P P --> (W+ + W-) Z0 X
#: keyword observables: DSIG/DMTWZ
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],,,,,13000.0
#: .,,,,,Correlation matrix
$m_{\mathrm{T}}^{WZ}$ [GeV],$m_{\mathrm{T}}^{WZ}$ [GeV] LOW,$m_{\mathrm{T}}^{WZ}$ [GeV] HIGH,$m_{\mathrm{T}}^{WZ}$ [GeV],$m_{\mathrm{T}}^{WZ}$ [GeV] LOW,$m_{\mathrm{T}}^{WZ}$ [GeV] HIGH,
70.0,0.0,140.0,70.0,0.0,140.0,1.00
160.0,140.0,180.0,70.0,0.0,140.0,0.61
215.0,180.0,250.0,70.0,0.0,140.0,0.51
350.0,250.0,450.0,70.0,0.0,140.0,0.41
525.0,450.0,600.0,70.0,0.0,140.0,0.11
800.0,600.0,1000.0,70.0,0.0,140.0,0.17
70.0,0.0,140.0,160.0,140.0,180.0,0.61
160.0,140.0,180.0,160.0,140.0,180.0,1.00
215.0,180.0,250.0,160.0,140.0,180.0,0.48
350.0,250.0,450.0,160.0,140.0,180.0,0.43
525.0,450.0,600.0,160.0,140.0,180.0,0.15
800.0,600.0,1000.0,160.0,140.0,180.0,0.20
70.0,0.0,140.0,215.0,180.0,250.0,0.51
160.0,140.0,180.0,215.0,180.0,250.0,0.48
215.0,180.0,250.0,215.0,180.0,250.0,1.00
350.0,250.0,450.0,215.0,180.0,250.0,0.46
525.0,450.0,600.0,215.0,180.0,250.0,0.19
800.0,600.0,1000.0,215.0,180.0,250.0,0.19
70.0,0.0,140.0,350.0,250.0,450.0,0.41
160.0,140.0,180.0,350.0,250.0,450.0,0.43
215.0,180.0,250.0,350.0,250.0,450.0,0.46
350.0,250.0,450.0,350.0,250.0,450.0,1.00
525.0,450.0,600.0,350.0,250.0,450.0,0.22
800.0,600.0,1000.0,350.0,250.0,450.0,0.21
70.0,0.0,140.0,525.0,450.0,600.0,0.11
160.0,140.0,180.0,525.0,450.0,600.0,0.15
215.0,180.0,250.0,525.0,450.0,600.0,0.19
350.0,250.0,450.0,525.0,450.0,600.0,0.22
525.0,450.0,600.0,525.0,450.0,600.0,1.00
800.0,600.0,1000.0,525.0,450.0,600.0,0.04
70.0,0.0,140.0,800.0,600.0,1000.0,0.17
160.0,140.0,180.0,800.0,600.0,1000.0,0.20
215.0,180.0,250.0,800.0,600.0,1000.0,0.19
350.0,250.0,450.0,800.0,600.0,1000.0,0.21
525.0,450.0,600.0,800.0,600.0,1000.0,0.04
800.0,600.0,1000.0,800.0,600.0,1000.0,1.00

