#: table_doi: 10.17182/hepdata.83701.v1/t11
#: name: Table 11
#: description: Correlation matrix for the unfolded cross section.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> (W+ + W-) Z0 X
#: keyword observables: DSIG/DPTW
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],,,,,13000.0
#: .,,,,,Correlation matrix
$p_{\mathrm{T}}^{W}$ [GeV],$p_{\mathrm{T}}^{W}$ [GeV] LOW,$p_{\mathrm{T}}^{W}$ [GeV] HIGH,$p_{\mathrm{T}}^{W}$ [GeV],$p_{\mathrm{T}}^{W}$ [GeV] LOW,$p_{\mathrm{T}}^{W}$ [GeV] HIGH,
15.0,0.0,30.0,15.0,0.0,30.0,1.00
45.0,30.0,60.0,15.0,0.0,30.0,0.71
80.0,60.0,100.0,15.0,0.0,30.0,0.52
125.0,100.0,150.0,15.0,0.0,30.0,0.39
185.0,150.0,220.0,15.0,0.0,30.0,0.30
610.0,220.0,1000.0,15.0,0.0,30.0,0.28
15.0,0.0,30.0,45.0,30.0,60.0,0.71
45.0,30.0,60.0,45.0,30.0,60.0,1.00
80.0,60.0,100.0,45.0,30.0,60.0,0.62
125.0,100.0,150.0,45.0,30.0,60.0,0.41
185.0,150.0,220.0,45.0,30.0,60.0,0.35
610.0,220.0,1000.0,45.0,30.0,60.0,0.33
15.0,0.0,30.0,80.0,60.0,100.0,0.52
45.0,30.0,60.0,80.0,60.0,100.0,0.62
80.0,60.0,100.0,80.0,60.0,100.0,1.00
125.0,100.0,150.0,80.0,60.0,100.0,0.47
185.0,150.0,220.0,80.0,60.0,100.0,0.34
610.0,220.0,1000.0,80.0,60.0,100.0,0.35
15.0,0.0,30.0,125.0,100.0,150.0,0.39
45.0,30.0,60.0,125.0,100.0,150.0,0.41
80.0,60.0,100.0,125.0,100.0,150.0,0.47
125.0,100.0,150.0,125.0,100.0,150.0,1.00
185.0,150.0,220.0,125.0,100.0,150.0,0.33
610.0,220.0,1000.0,125.0,100.0,150.0,0.32
15.0,0.0,30.0,185.0,150.0,220.0,0.30
45.0,30.0,60.0,185.0,150.0,220.0,0.35
80.0,60.0,100.0,185.0,150.0,220.0,0.34
125.0,100.0,150.0,185.0,150.0,220.0,0.33
185.0,150.0,220.0,185.0,150.0,220.0,1.00
610.0,220.0,1000.0,185.0,150.0,220.0,0.21
15.0,0.0,30.0,610.0,220.0,1000.0,0.28
45.0,30.0,60.0,610.0,220.0,1000.0,0.33
80.0,60.0,100.0,610.0,220.0,1000.0,0.35
125.0,100.0,150.0,610.0,220.0,1000.0,0.32
185.0,150.0,220.0,610.0,220.0,1000.0,0.21
610.0,220.0,1000.0,610.0,220.0,1000.0,1.00

