group	dataset	id	replica 32
ALL	NMC_NC_NOTFIXED_EM-F2	45	0.9906843665088866
ALL	NMC_NC_NOTFIXED_EM-F2	46	1.0165387837708488
ALL	NMC_NC_NOTFIXED_EM-F2	58	0.9691165572952487
ALL	NMC_NC_NOTFIXED_EM-F2	59	0.9660738450200863
ALL	NMC_NC_NOTFIXED_EM-F2	60	1.0001548076519853
ALL	NMC_NC_NOTFIXED_EM-F2	72	0.9624204142787535
ALL	NMC_NC_NOTFIXED_EM-F2	73	0.9534836974790978
ALL	NMC_NC_NOTFIXED_EM-F2	74	0.9857151765576726
ALL	NMC_NC_NOTFIXED_EM-F2	75	0.9797608679940778
ALL	NMC_NC_NOTFIXED_EM-F2	86	0.9632820093215012
ALL	NMC_NC_NOTFIXED_EM-F2	87	0.9804988738274989
ALL	NMC_NC_NOTFIXED_EM-F2	88	0.9880240422667849
ALL	NMC_NC_NOTFIXED_EM-F2	89	0.9792967222702951
ALL	NMC_NC_NOTFIXED_EM-F2	90	0.968486529474083
ALL	NMC_NC_NOTFIXED_EM-F2	91	0.9214344445283633
ALL	NMC_NC_NOTFIXED_EM-F2	101	0.9564545590985678
ALL	NMC_NC_NOTFIXED_EM-F2	102	0.9541180839397199
ALL	NMC_NC_NOTFIXED_EM-F2	103	0.9579348440077463
ALL	NMC_NC_NOTFIXED_EM-F2	104	0.943230596348122
ALL	NMC_NC_NOTFIXED_EM-F2	105	0.9580962305590857
ALL	NMC_NC_NOTFIXED_EM-F2	106	0.9573702911863683
ALL	NMC_NC_NOTFIXED_EM-F2	107	0.9681250148941211
ALL	NMC_NC_NOTFIXED_EM-F2	116	0.9196574848221388
ALL	NMC_NC_NOTFIXED_EM-F2	117	0.9611938734210029
ALL	NMC_NC_NOTFIXED_EM-F2	118	0.9338659742956636
ALL	NMC_NC_NOTFIXED_EM-F2	119	0.9380278385339608
ALL	NMC_NC_NOTFIXED_EM-F2	120	0.9231587410510811
ALL	NMC_NC_NOTFIXED_EM-F2	121	0.9407450068323934
ALL	NMC_NC_NOTFIXED_EM-F2	122	0.9253961020853857
ALL	NMC_NC_NOTFIXED_EM-F2	123	0.9300139359204395
ALL	NMC_NC_NOTFIXED_EM-F2	131	0.9311687502227604
ALL	NMC_NC_NOTFIXED_EM-F2	132	0.9424858191405614
ALL	NMC_NC_NOTFIXED_EM-F2	133	0.9098670995044104
ALL	NMC_NC_NOTFIXED_EM-F2	134	0.917991828770264
ALL	NMC_NC_NOTFIXED_EM-F2	135	0.9234510146371419
ALL	NMC_NC_NOTFIXED_EM-F2	136	0.9081709300701162
ALL	NMC_NC_NOTFIXED_EM-F2	137	0.9232798679937274
ALL	NMC_NC_NOTFIXED_EM-F2	138	0.9516030020083088
ALL	NMC_NC_NOTFIXED_EM-F2	139	0.8714340071263648
ALL	NMC_NC_NOTFIXED_EM-F2	146	0.8965563924673464
ALL	NMC_NC_NOTFIXED_EM-F2	147	0.9528120884093769
ALL	NMC_NC_NOTFIXED_EM-F2	148	0.9220098114127241
ALL	NMC_NC_NOTFIXED_EM-F2	149	0.9103556331809355
ALL	NMC_NC_NOTFIXED_EM-F2	150	0.907198448096555
ALL	NMC_NC_NOTFIXED_EM-F2	151	0.9247374106395627
ALL	NMC_NC_NOTFIXED_EM-F2	152	0.9099157809830827
ALL	NMC_NC_NOTFIXED_EM-F2	153	0.9402907466280741
ALL	NMC_NC_NOTFIXED_EM-F2	154	0.8819877991926345
ALL	NMC_NC_NOTFIXED_EM-F2	155	0.8787693896036322
ALL	NMC_NC_NOTFIXED_EM-F2	161	0.9117567944640065
ALL	NMC_NC_NOTFIXED_EM-F2	162	0.9179355494155084
ALL	NMC_NC_NOTFIXED_EM-F2	163	0.9161515582220068
ALL	NMC_NC_NOTFIXED_EM-F2	164	0.907492198327809
ALL	NMC_NC_NOTFIXED_EM-F2	165	0.9083822360800342
ALL	NMC_NC_NOTFIXED_EM-F2	166	0.9059986092116636
