#: table_doi: 10.17182/hepdata.85696.v2/t218
#: name: Table 218
#: description: Covariance matrix of normalized cross section at the parton level as a function of $|y(\text{t}_\text{l})|$.
#: data_file: data218.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DYTL
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1,1,0.000174119780186
2,1,-0.000114611257393
3,1,1.22886488469e-05
4,1,-7.33048332948e-05
5,1,-1.99563667707e-05
6,1,6.1976272776e-05
7,1,-1.3893743475e-06
8,1,-5.52636958614e-05
9,1,-2.27278733781e-05
10,1,3.62373171376e-05
11,1,1.05255283975e-06
1,2,-0.000114611257393
2,2,0.00025746125813
3,2,-3.48969574887e-05
4,2,4.74495867873e-05
5,2,1.95387296832e-05
6,2,-9.74288114736e-05
7,2,-1.82275130691e-06
8,2,5.01126246951e-05
9,2,1.82021776509e-05
10,2,-0.000102665755615
11,2,-1.65355374673e-05
1,3,1.22886488469e-05
2,3,-3.48969574887e-05
3,3,8.43486952489e-05
4,3,-6.83438706258e-06
5,3,-2.68789276478e-05
6,3,3.08839557837e-05
7,3,6.05948275932e-06
8,3,-9.62171316343e-05
9,3,-1.24007205133e-05
10,3,4.47900013694e-05
11,3,-4.57063864575e-07
1,4,-7.33048332948e-05
2,4,4.74495867873e-05
3,4,-6.83438706258e-06
4,4,0.000153465849257
5,4,5.54644926813e-05
6,4,-0.000107214376164
7,4,2.04246784589e-05
8,4,-1.0672024661e-05
9,4,-7.79452123877e-05
10,4,0.00010341665025
11,4,-4.17001695459e-05
1,5,-1.99563667707e-05
2,5,1.95387296832e-05
3,5,-2.68789276478e-05
4,5,5.54644926813e-05
5,5,9.84927676038e-05
6,5,-4.85405544775e-05
7,5,-1.35076645883e-05
8,5,3.1388765099e-05
9,5,-8.43789540333e-05
10,5,3.1087770243e-05
11,5,-1.70840231171e-05
1,6,6.1976272776e-05
2,6,-9.74288114736e-05
3,6,3.08839557837e-05
4,6,-0.000107214376164
5,6,-4.85405544775e-05
6,6,0.000169812028337
7,6,-3.54119923219e-05
8,6,-2.38352485742e-05
9,6,7.29119653222e-05
10,6,-0.000103192924809
11,6,3.20158742407e-05
1,7,-1.3893743475e-06
2,7,-1.82275130691e-06
3,7,6.05948275932e-06
4,7,2.04246784589e-05
5,7,-1.35076645883e-05
6,7,-3.54119923219e-05
7,7,8.37644838158e-05
8,7,-3.13174915764e-05
9,7,-1.84788621189e-05
10,7,8.02262153918e-05
11,7,-3.54186896664e-05
1,8,-5.52636958614e-05
2,8,5.01126246951e-05
3,8,-9.62171316343e-05
4,8,-1.0672024661e-05
5,8,3.1388765099e-05
6,8,-2.38352485742e-05
7,8,-3.13174915764e-05
8,8,0.000230064877307
9,8,5.35679554745e-05
10,8,-0.000128452678831
11,8,-7.75038057508e-06
1,9,-2.27278733781e-05
2,9,1.82021776509e-05
3,9,-1.24007205133e-05
4,9,-7.79452123877e-05
5,9,-8.43789540333e-05
6,9,7.29119653222e-05
7,9,-1.84788621189e-05
8,9,5.35679554745e-05
9,9,0.000200614639828
10,9,-0.000120964681653
11,9,-3.36017367684e-06
1,10,3.62373171376e-05
2,10,-0.000102665755615
3,10,4.47900013694e-05
4,10,0.00010341665025
5,10,3.1087770243e-05
6,10,-0.000103192924809
7,10,8.02262153918e-05
8,10,-0.000128452678831
9,10,-0.000120964681653
10,10,0.000392226695993
11,10,-9.3083443791e-05
1,11,1.05255283975e-06
2,11,-1.65355374673e-05
3,11,-4.57063864575e-07
4,11,-4.17001695459e-05
5,11,-1.70840231171e-05
6,11,3.20158742407e-05
7,11,-3.54186896664e-05
8,11,-7.75038057508e-06
9,11,-3.36017367684e-06
10,11,-9.3083443791e-05
11,11,7.29284218495e-05

