#: table_doi: 10.17182/hepdata.85696.v2/t216
#: name: Table 216
#: description: Covariance matrix of normalized cross section at the parton level as a function of $p_\text{T}(\text{t}_\text{l})$.
#: data_file: data216.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DPTTL
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1,1,1.41517337302e-08
2,1,-1.07179944201e-08
3,1,6.3681726676e-09
4,1,-5.42921139057e-09
5,1,8.89889859461e-10
6,1,-2.91553300275e-09
7,1,-5.20095545354e-10
8,1,-6.82999880445e-10
9,1,-5.30306676852e-11
10,1,-5.51492510372e-10
11,1,1.28091484641e-11
12,1,-3.19965446891e-11
1,2,-1.07179944201e-08
2,2,3.97779011519e-08
3,2,-2.46132925469e-08
4,2,9.77018597728e-09
5,2,-1.27233113137e-08
6,2,3.30111303594e-09
7,2,-4.00782089009e-09
8,2,-2.52901544792e-10
9,2,-7.00340750218e-10
10,2,4.53328394818e-10
11,2,-2.67934707458e-10
12,2,4.09329491867e-11
1,3,6.3681726676e-09
2,3,-2.46132925469e-08
3,3,3.10769382783e-08
4,3,-1.6208208623e-08
5,3,7.3409921851e-09
6,3,-2.87776372413e-09
7,3,4.15673095625e-10
8,3,-6.40967824809e-10
9,3,3.64694754937e-10
10,3,-9.02764966361e-10
11,3,2.26021104953e-10
12,3,-5.65667628105e-11
1,4,-5.42921139057e-09
2,4,9.77018597728e-09
3,4,-1.6208208623e-08
4,4,1.63620586972e-08
5,4,-6.95996852171e-09
6,4,3.37233822523e-09
7,4,-1.763785538e-09
8,4,7.96045003337e-10
9,4,-6.80982496698e-10
10,4,4.8737907647e-10
11,4,-1.19319387439e-10
12,4,4.16464163636e-11
1,5,8.89889859461e-10
2,5,-1.27233113137e-08
3,5,7.3409921851e-09
4,5,-6.95996852171e-09
5,5,1.00771041525e-08
6,5,-3.20477937511e-09
7,5,3.82289611484e-09
8,5,-2.88051393765e-11
9,5,5.88934600903e-10
10,5,4.00855384536e-11
11,5,1.03278974546e-10
12,5,-2.31773409039e-11
1,6,-2.91553300275e-09
2,6,3.30111303594e-09
3,6,-2.87776372413e-09
4,6,3.37233822523e-09
5,6,-3.20477937511e-09
6,6,3.02320770019e-09
7,6,-1.31511862585e-09
8,6,3.52790600247e-10
9,6,2.40499162199e-11
10,6,-9.80643442224e-12
11,6,1.5920996787e-11
12,6,1.7317522606e-11
1,7,-5.20095545354e-10
2,7,-4.00782089009e-09
3,7,4.15673095625e-10
4,7,-1.763785538e-09
5,7,3.82289611484e-09
6,7,-1.31511862585e-09
7,7,2.62003288465e-09
8,7,-1.20563025169e-11
9,7,3.67660387771e-10
10,7,2.28179659019e-10
11,7,2.10461569861e-11
12,7,-2.44559345199e-12
1,8,-6.82999880445e-10
2,8,-2.52901544792e-10
3,8,-6.40967824809e-10
4,8,7.96045003337e-10
5,8,-2.88051393765e-11
6,8,3.52790600247e-10
7,8,-1.20563025169e-11
8,8,3.89653609114e-10
9,8,-1.74270319515e-10
10,8,1.5040378396e-10
11,8,-2.39904777026e-11
12,8,7.15261098502e-12
1,9,-5.30306676852e-11
2,9,-7.00340750218e-10
3,9,3.64694754937e-10
4,9,-6.80982496698e-10
5,9,5.88934600903e-10
6,9,2.40499162199e-11
7,9,3.67660387771e-10
8,9,-1.74270319515e-10
9,9,3.39853396427e-10
10,9,-1.51717968338e-10
11,9,6.01016691608e-11
12,9,-4.46600693057e-12
1,10,-5.51492510372e-10
2,10,4.53328394818e-10
3,10,-9.02764966361e-10
4,10,4.8737907647e-10
5,10,4.00855384536e-11
6,10,-9.80643442224e-12
7,10,2.28179659019e-10
8,10,1.5040378396e-10
9,10,-1.51717968338e-10
10,10,2.32762483277e-10
11,10,-5.15275681083e-11
12,10,7.46054839478e-12
1,11,1.28091484641e-11
2,11,-2.67934707458e-10
3,11,2.26021104953e-10
4,11,-1.19319387439e-10
5,11,1.03278974546e-10
6,11,1.5920996787e-11
7,11,2.10461569861e-11
8,11,-2.39904777026e-11
9,11,6.01016691608e-11
10,11,-5.15275681083e-11
11,11,2.32254764632e-11
12,11,-1.7595199783e-12
1,12,-3.19965446891e-11
2,12,4.09329491867e-11
3,12,-5.65667628105e-11
4,12,4.16464163636e-11
5,12,-2.31773409039e-11
6,12,1.7317522606e-11
7,12,-2.44559345199e-12
8,12,7.15261098502e-12
9,12,-4.46600693057e-12
10,12,7.46054839478e-12
11,12,-1.7595199783e-12
12,12,6.24609746632e-13

