PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE `TheoryIndex` (
	`ID`		INTEGER NOT NULL UNIQUE,
	`PTO`		INTEGER NOT NULL,
	`FNS`		TEXT 	NOT NULL,
	`DAMP`		INTEGER NOT NULL,
	`IC`		INTEGER NOT NULL,
	`ModEv`		TEXT 	NOT NULL,
	`XIR`		REAL 	NOT NULL,
	`XIF`		REAL 	NOT NULL,
	`NfFF`		INTEGER NOT NULL,
	`MaxNfAs`	INTEGER NOT NULL,
	`MaxNfPdf`	INTEGER NOT NULL,
	`Q0`		REAL 	NOT NULL,
	`alphas`	REAL 	NOT NULL,
	`Qref`		REAL 	NOT NULL,
	`QED`		INTEGER NOT NULL,
	`alphaqed`	REAL 	NOT NULL,
	`Qedref`	REAL 	NOT NULL,
	`SxRes`		INTEGER NOT NULL,
	`SxOrd`		TEXT 	NOT NULL,
	`HQ`		TEXT 	NOT NULL,
	`mc`		REAL 	NOT NULL,
	`Qmc`		REAL 	NOT NULL,
	`kcThr`		REAL 	NOT NULL,
	`mb`		REAL 	NOT NULL,
	`Qmb`		REAL 	NOT NULL,
	`kbThr`		REAL 	NOT NULL,
	`mt`		REAL 	NOT NULL,
	`Qmt`		REAL 	NOT NULL,
	`ktThr`		REAL 	NOT NULL,
	`CKM`		TEXT 	NOT NULL,
	`MZ`		REAL 	NOT NULL,
	`MW`		REAL 	NOT NULL,
	`GF`		REAL 	NOT NULL,
	`SIN2TW`	REAL 	NOT NULL,
	`TMC`		INTEGER NOT NULL,
	`MP`		REAL 	NOT NULL,
	`Comments`	TEXT, global_nx Integer, EScaleVar INTEGER NOT NULL DEFAULT 1,
	/* Primary Key */
	PRIMARY KEY(ID),
	/* Checks */
	CHECK(PTO IN ( 0 , 1 , 2 )),
	CHECK(FNS IN ( 'FFNS' , 'ZM-VFNS' , 'FONLL-A' , 'FONLL-B' , 'FONLL-C' )),
	CHECK(DAMP IN ( 0 , 1 )),
	CHECK(IC IN ( 0 , 1 )),
	CHECK(ModEv IN ( 'EXA' , 'EXP' , 'TRN' )),
	CHECK(XIR > 0),
	CHECK(XIF > 0),
	CHECK(NfFF IN ( 3 , 4 , 5 , 6 )),
	CHECK(MaxNfAs IN ( 3 , 4 , 5 , 6 )),
	CHECK(MaxNfPdf IN ( 3 , 4 , 5 , 6 )),
	CHECK(Q0 > 0),
	CHECK(alphas > 0 AND alphas < 1),
	CHECK(Qref > 0),
	CHECK(QED IN ( 0 , 1 )),
	CHECK(alphaqed > 0 AND alphaqed < 1),
	CHECK(Qedref > 0),
	CHECK(SxRes IN ( 0 , 1 )),
	CHECK(SxOrd IN ( 'LL' , 'NLL' , 'NNLL' )),
	CHECK(HQ IN ( 'POLE' , 'MSBAR' )),
	CHECK(mc > 0),
	CHECK(Qmc >= 0),
	CHECK(kcThr >= 0),
	CHECK(mb > 0),
	CHECK(Qmb >= 0),
	CHECK(kbThr >= 0),
	CHECK(mt > 0),
	CHECK(Qmt >= 0),
	CHECK(ktThr >= 0),
	CHECK(MZ > 0),
	CHECK(MW > 0),
	CHECK(GF > 0),
	CHECK(SIN2TW > 0 AND SIN2TW < 1),
	CHECK(TMC IN ( 0 , 1 )),
	CHECK(MP > 0)
);
INSERT INTO TheoryIndex VALUES(1,0,'ZM-VFNS',0,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 LO benchmark',0,1);
INSERT INTO TheoryIndex VALUES(2,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO benchmark',0,1);
INSERT INTO TheoryIndex VALUES(3,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO benchmark',0,1);
INSERT INTO TheoryIndex VALUES(4,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.3000000000000000444,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO - Q0=1.3 For IC Test',0,1);
INSERT INTO TheoryIndex VALUES(5,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.3000000000000000444,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO - Q0=1.3 For IC Test',0,1);
INSERT INTO TheoryIndex VALUES(6,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO - HXSWG MSBar Masses',0,1);
INSERT INTO TheoryIndex VALUES(7,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO - HXSWG MSBar Masses',0,1);
INSERT INTO TheoryIndex VALUES(8,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11650000000000000632,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO MSBAR (-1sig alpha_S)',0,1);
INSERT INTO TheoryIndex VALUES(9,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11650000000000000632,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO MSBAR (-1sig alpha_S)',0,1);
INSERT INTO TheoryIndex VALUES(10,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11949999999999999511,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',0.98599999999999998756,3.0,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NLO MSBAR (+1sig alpha_S)',0,1);
