#: table_doi: 10.17182/hepdata.22184.v1/t4
#: name: Table 4
#: description: The cross section ratio and the ratio and differences between the parton distribution functions (PDF) for the dbar and ubar sea quarks determined from the combination of all data sets. The quantities extracted from the cross section ratio are given for a mean Q**2 of 54 GeV**2. The systematic unxcertainty on the ratio is ledd than 1 PCT.

#: data_file: Table4.yaml
#: keyword reactions: P DEUT --> MU+ MU- X | P P --> MU+ MU- X
#: keyword observables: PDF | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Di-Muon Production | Muon production
#: keyword cmenergies: 38.763
#: P [GeV],,,800.0
#: RE(Q=DEUT),,,P DEUT --> MU+ MU- X
#: RE(Q=P),,,P P --> MU+ MU- X
#: SQRT(S) [GeV],,,38.763
X(C=TARGET PARTON),X(C=TARGET PARTON) LOW,X(C=TARGET PARTON) HIGH,XL(P=3 4),PT(P=3 4) [GEV],M(P=3 4) [GEV],SIG(Q=DEUT)2*SIG(Q=P),error +,error -
0.026,0.015,0.03,0.534,1.004,4.6,1.038,0.022,-0.022
0.038,0.03,0.045,0.415,1.045,5.1,1.056,0.011,-0.011
0.052,0.045,0.06,0.356,1.076,5.6,1.081,0.01,-0.01
0.067,0.06,0.075,0.326,1.103,6.2,1.086,0.011,-0.011
0.082,0.075,0.09,0.296,1.122,6.8,1.118,0.013,-0.013
0.097,0.09,0.105,0.261,1.141,7.2,1.116,0.015,-0.015
0.112,0.105,0.12,0.227,1.156,7.5,1.115,0.018,-0.018
0.127,0.12,0.135,0.199,1.168,7.8,1.161,0.023,-0.023
0.142,0.135,0.15,0.182,1.161,8.2,1.132,0.027,-0.027
0.161,0.15,0.175,0.164,1.156,8.7,1.124,0.027,-0.027
0.186,0.175,0.2,0.146,1.146,9.5,1.144,0.038,-0.038
0.211,0.2,0.225,0.133,1.146,10.3,1.091,0.047,-0.047
0.236,0.225,0.25,0.12,1.178,11.1,1.039,0.063,-0.063
0.269,0.25,0.3,0.097,1.177,12.0,0.935,0.067,-0.067
0.315,0.3,0.35,0.046,1.078,12.9,0.729,0.124,-0.124

#: P [GeV],,,800.0
#: RE(Q=DEUT),,,P DEUT --> MU+ MU- X
#: RE(Q=P),,,P P --> MU+ MU- X
#: SQRT(S) [GeV],,,38.763
X(C=TARGET PARTON),X(C=TARGET PARTON) LOW,X(C=TARGET PARTON) HIGH,XL(P=3 4),PT(P=3 4) [GEV],M(P=3 4) [GEV],PDF(N=DQBAR)/PDF(N=UQBAR),stat +,stat -,sys +,sys -
0.026,0.015,0.03,0.534,1.004,4.6,1.085,0.05,-0.05,0.017,-0.017
0.038,0.03,0.045,0.415,1.045,5.1,1.14,0.027,-0.027,0.018,-0.018
0.052,0.045,0.06,0.356,1.076,5.6,1.215,0.026,-0.026,0.02,-0.02
0.067,0.06,0.075,0.326,1.103,6.2,1.249,0.028,-0.028,0.021,-0.021
0.082,0.075,0.09,0.296,1.122,6.8,1.355,0.036,-0.036,0.023,-0.023
0.097,0.09,0.105,0.261,1.141,7.2,1.385,0.046,-0.046,0.025,-0.025
0.112,0.105,0.12,0.227,1.156,7.5,1.419,0.06,-0.06,0.027,-0.027
0.127,0.12,0.135,0.199,1.168,7.8,1.63,0.085,-0.085,0.031,-0.031
0.142,0.135,0.15,0.182,1.161,8.2,1.625,0.11,-0.11,0.033,-0.033
0.161,0.15,0.175,0.164,1.156,8.7,1.585,0.111,-0.111,0.032,-0.032
0.186,0.175,0.2,0.146,1.146,9.5,1.709,0.158,-0.158,0.036,-0.036
0.211,0.2,0.225,0.133,1.146,10.3,1.56,0.194,-0.194,0.034,-0.034
0.236,0.225,0.25,0.12,1.178,11.1,1.419,0.264,-0.264,0.036,-0.036
0.269,0.25,0.3,0.097,1.177,12.0,1.082,0.256,-0.256,0.032,-0.032
0.315,0.3,0.35,0.046,1.078,12.9,0.346,0.395,-0.395,0.022,-0.022

#: P [GeV],,,800.0
#: RE(Q=DEUT),,,P DEUT --> MU+ MU- X
#: RE(Q=P),,,P P --> MU+ MU- X
#: SQRT(S) [GeV],,,38.763
X(C=TARGET PARTON),X(C=TARGET PARTON) LOW,X(C=TARGET PARTON) HIGH,XL(P=3 4),PT(P=3 4) [GEV],M(P=3 4) [GEV],PDF(N=DQBAR)-PDF(N=UQBAR),stat +,stat -,sys +,sys -
0.026,0.015,0.03,0.534,1.004,4.6,0.862,0.489,-0.489,0.167,-0.167
0.038,0.03,0.045,0.415,1.045,5.1,0.779,0.142,-0.142,0.096,-0.096
0.052,0.045,0.06,0.356,1.076,5.6,0.711,0.077,-0.077,0.06,-0.06
0.067,0.06,0.075,0.326,1.103,6.2,0.538,0.055,-0.055,0.041,-0.041
0.082,0.075,0.09,0.296,1.122,6.8,0.512,0.044,-0.044,0.028,-0.028
0.097,0.09,0.105,0.261,1.141,7.2,0.4,0.04,-0.04,0.022,-0.022
0.112,0.105,0.12,0.227,1.156,7.5,0.321,0.038,-0.038,0.017,-0.017
