********************************************************************************
SetName: CMS_2JET_3D_8TEV
Author: Emanuele R. Nocera enocera@nikhef.nl
Date: Sep 2019
CodesUsed: K-factors provided by J. Pires et al.
TheoryInput: NNPDF3.1 with alphas(MZ)=0.118
PDFset: NNPDF31_nnlo_as_0118
Warnings: 
********************************************************************************
1.02755 0.00676
1.03725 0.00628
1.04112 0.00591
1.02508 0.00563
1.05073 0.00552
1.04289 0.00523
1.04441 0.00513
1.04744 0.00487
1.05113 0.00471
1.04678 0.00454
1.05379 0.00444
1.05178 0.00432
1.06175 0.00433
1.06969 0.00422
1.06141 0.00410
1.06934 0.00404
1.06267 0.00412
1.07579 0.00407
1.07812 0.00415
1.07352 0.00423
1.08303 0.00437
1.09233 0.00439
1.08062 0.00478
1.09266 0.00455
1.11017 0.00487
1.10989 0.00507
1.11625 0.00534
1.12343 0.00576
1.12705 0.00629
1.14593 0.00664
1.14829 0.00491
1.07929 0.00836
1.09703 0.00825
1.10074 0.00817
1.09490 0.00777
1.10873 0.00784
1.09468 0.00727
1.10280 0.00736
1.09839 0.00739
1.10509 0.00748
1.11613 0.00781
1.11231 0.00793
1.10154 0.00807
1.10892 0.00822
1.12308 0.00860
1.09513 0.00890
1.11466 0.00947
1.10938 0.01023
1.11657 0.01051
1.11237 0.01120
1.14996 0.01263
1.12835 0.01375
1.14448 0.01469
1.11216 0.01616
1.12294 0.02165
1.17928 0.02480
1.22892 0.02094
1.28087 0.02257
1.22631 0.02547
1.22228 0.02580
1.22457 0.02634
1.22856 0.02823
1.27328 0.02878
1.25154 0.03168
1.24309 0.03437
1.30697 0.03883
1.26153 0.04363
1.27153 0.05633
1.21984 0.07473
1.44749 0.08597
1.41454 0.09638
1.02733 0.00804
1.02888 0.00752
1.02760 0.00783
1.03316 0.00708
1.04161 0.00718
1.04269 0.00706
1.04235 0.00702
1.04766 0.00696
1.03846 0.00683
1.05579 0.00697
1.04317 0.00709
1.06474 0.00697
1.03946 0.00748
1.07777 0.00813
1.06437 0.00831
1.06881 0.00883
1.06671 0.00977
1.08534 0.01067
1.07288 0.01351
1.09123 0.01322
1.08843 0.01371
1.11480 0.01586
1.11426 0.02127
1.09669 0.01270
1.07132 0.01380
1.09946 0.01265
1.06982 0.01439
1.11808 0.01320
1.09394 0.01332
1.12498 0.01377
1.10811 0.01446
1.12188 0.01827
1.10960 0.02062
1.10472 0.01999
1.16519 0.02100
1.21211 0.02402
1.12331 0.03710
1.17075 0.03198
1.20832 0.03684
1.20353 0.04304
1.05793 0.01622
1.04359 0.01654
1.01847 0.01771
1.07982 0.01879
1.05332 0.01774
1.07066 0.01985
1.06866 0.02202
1.03558 0.02370
1.07246 0.02479
1.06257 0.03422
1.08971 0.03483
