********************************************************************************
SetName: ATLAS_1JET_8TEV_R04
Author: Emanuele R. Nocera enocera@nikhef.nl
Date: Sep 2019
CodesUsed: K-factors provided by J. Pires et al.
TheoryInput: NNPDF3.1 with alphas(MZ)=0.118
PDFset: NNPDF31_nnlo_as_0118
Warnings: 
********************************************************************************
0.98974 0.01525
1.00127 0.01513
1.00208 0.01406
0.99042 0.01254
0.99581 0.01181
0.99077 0.01099
1.00359 0.01016
0.99814 0.01002
0.99684 0.00958
1.00675 0.00968
0.99656 0.00946
1.00279 0.00893
1.00981 0.00881
1.00983 0.00832
1.00679 0.00827
1.01780 0.00813
1.02011 0.00790
1.01795 0.00786
1.02603 0.00747
1.03728 0.00741
1.03441 0.00734
1.04492 0.00705
1.03900 0.00687
1.04380 0.00714 
1.05808 0.00708
1.04206 0.00672
1.05102 0.00682
1.06481 0.00683
1.06094 0.00676
1.07153 0.00550
1.07850 0.00380
1.09177 0.00334
1.11744 0.00339
1.18128 0.00561
1.00435 0.01645
0.97921 0.01668
0.97600 0.01519
1.04518 0.01284
0.94276 0.01592
0.99994 0.01136
1.01570 0.01084
1.01046 0.01089
0.99665 0.01316
0.98724 0.01037
0.99533 0.00951
1.01873 0.00921
0.99996 0.00901
1.02079 0.00864
1.00922 0.00842
1.01591 0.00826
1.02239 0.00807
1.02719 0.00793
1.03464 0.00773
1.02649 0.00754
1.02207 0.00733
1.03292 0.00726
1.04828 0.00720
1.03663 0.00720
1.04012 0.00737
1.05096 0.00735
1.05575 0.00737
1.03865 0.00726
1.05135 0.00730
1.07938 0.00602
1.07254 0.00452
1.07794 0.00471
1.09567 0.00551
0.99182 0.01748
0.98773 0.01640
1.01133 0.01594
0.99017 0.01369
0.98511 0.01304
1.00144 0.01176
1.00213 0.01077
0.99832 0.01083
1.00797 0.00994
0.99789 0.01022
1.01983 0.00979
1.01756 0.00924
1.02564 0.00922
1.02105 0.00888
1.01028 0.00865
1.02600 0.00841
1.03064 0.00825
1.02366 0.00805
1.03570 0.00810
1.03441 0.00825
1.02898 0.00794
1.03577 0.00804
1.03057 0.00806
1.04428 0.00821
1.05021 0.00855
1.03245 0.00843
1.05010 0.00861
1.04611 0.00896
1.05741 0.00934
1.05269 0.00822
1.04247 0.00800
1.07410 0.00854
1.00578 0.01717
0.99955 0.01714
1.00297 0.01589
0.99886 0.01392
0.99790 0.01326
1.00883 0.01196
1.01400 0.01071
0.99871 0.01109
1.01053 0.01037
1.01504 0.01042
1.01536 0.01012
1.01928 0.00966
1.00786 0.00998
1.02121 0.00952
1.00591 0.00972
1.02897 0.00989
1.01031 0.00960
1.03364 0.00956
1.03611 0.00976
1.00913 0.01014
1.02165 0.01034
1.02898 0.01096
1.01797 0.01125
1.02096 0.01243
1.03337 0.01309
1.02214 0.01774
1.03178 0.01791
1.03024 0.01769
1.08752 0.02554
1.06021 0.02148
1.00765 0.01795
1.00795 0.01783
1.03395 0.01605
0.99407 0.01455
0.98001 0.01430
1.00982 0.01320
1.02363 0.01242
1.01736 0.01242
1.02891 0.01211
1.02573 0.01227
1.01944 0.01220
1.02021 0.01196
1.03345 0.01257
1.00519 0.01294
1.02734 0.01376
0.99376 0.01694
1.00378 0.01457
0.97980 0.01676
1.01392 0.01729
0.98790 0.01860
1.01671 0.02136
1.05134 0.02437
0.98872 0.03494
1.00953 0.03702
1.02016 0.01947
0.98843 0.01914
1.00771 0.01833
0.98954 0.01629
1.02758 0.01606
0.99986 0.01546
1.02675 0.01504
1.01290 0.01652
0.98409 0.01669
0.96569 0.01799
0.99126 0.01869
0.98234 0.02020
1.02144 0.02285
1.04500 0.02741
0.99924 0.02847
1.00827 0.03786
1.04425 0.03971
0.98447 0.05337

