********************************************************************************
SetName: ATLAS_1JET_8TEV_R06
Author: Emanuele R. Nocera enocera@nikhef.nl
Date: Sep 2019
CodesUsed: K-factors provided by J. Pires et al.
TheoryInput: NNPDF3.1 with alphas(MZ)=0.118
PDFset: NNPDF31_nnlo_as_0118
Warnings: 
********************************************************************************
1.04512 0.01195
1.04262 0.01156
1.03023 0.01119
1.03293 0.00964
1.05975 0.00967
1.05000 0.00877
1.04660 0.00819
1.06179 0.00851
1.05278 0.00799
1.06103 0.00805
1.06665 0.00795
1.07238 0.00780
1.04667 0.00778
1.06284 0.00714
1.06025 0.00684
1.07837 0.00664
1.05700 0.00647
1.07015 0.00639
1.07666 0.00646
1.07048 0.00623
1.07591 0.00593
1.09142 0.00589
1.07979 0.00569
1.09088 0.00556
1.08785 0.00550
1.09713 0.00505
1.09264 0.00510
1.09939 0.00541
1.11195 0.00555
1.10631 0.00448
1.12265 0.00302
1.13719 0.00265
1.16090 0.00322
1.24188 0.00460
1.04113 0.01324
1.04130 0.01299
1.06254 0.01190
1.03474 0.01078
1.04596 0.01072
1.05740 0.00965
1.06231 0.00884
1.05271 0.00915
1.05392 0.00863
1.05741 0.00878
1.05867 0.00826
1.06507 0.00783
1.05568 0.00785
1.05828 0.00737
1.07540 0.00711
1.06838 0.00705
1.06153 0.00887
1.06768 0.00651
1.08704 0.00663
1.07848 0.00641
1.07364 0.00621
1.08446 0.00612
1.09117 0.00595
1.07720 0.00592
1.09351 0.00573
1.09055 0.00551
1.08857 0.00585
1.09799 0.00598
1.10411 0.00588
1.09579 0.00504
1.11975 0.00376
1.12293 0.00351
1.14296 0.00481
1.03805 0.01372
1.02623 0.01395
1.06016 0.01254
1.03051 0.01085
1.06824 0.01071
1.04732 0.00994
1.06499 0.00907
1.05390 0.00925
1.06588 0.00878
1.05824 0.00884
1.07775 0.00850
1.07039 0.01049
1.05570 0.00802
1.06809 0.00754
1.07321 0.00727
1.07695 0.00716
1.06413 0.00689
1.06745 0.00676
1.08769 0.00668
1.06778 0.00667
1.08463 0.00651
1.08309 0.00661
1.07135 0.00664
1.08035 0.00667
1.07600 0.00692
1.08068 0.00681
1.09681 0.00712
1.09761 0.00776
1.10314 0.00797
1.08910 0.00730
1.10003 0.00625
1.11382 0.00732
1.03625 0.01400
1.05877 0.01367
1.04235 0.01260
1.04685 0.01128
1.06326 0.01116
1.05275 0.01020
1.06154 0.00954
1.06266 0.00954
1.04856 0.00916
1.07450 0.00937
1.06238 0.00865
1.06223 0.00829
1.06790 0.00861
1.04353 0.00840
1.08609 0.00815
1.07161 0.00804
1.06253 0.00797
1.07474 0.00801
1.06089 0.00827
1.05665 0.00858
1.06745 0.00888
1.06813 0.00905
1.05529 0.00963
1.06819 0.01065
1.06587 0.01186
1.07346 0.01300
1.08182 0.01418
1.09771 0.01673
1.07519 0.02261
1.10140 0.01955
1.04260 0.01458
1.05274 0.01423
1.06327 0.01357
1.06741 0.01224
1.04974 0.01219
1.05586 0.01123
1.07237 0.01067
1.07112 0.01095
1.05274 0.01042
1.06105 0.01054
1.05418 0.01066
1.07064 0.01038
1.04572 0.01063
1.06359 0.01110
1.05497 0.01163
1.03235 0.01205
1.05024 0.01274
1.06184 0.01402
1.06633 0.01496
1.05100 0.01626
1.03243 0.01904
1.05909 0.02296
1.07856 0.02731
1.09143 0.03593
1.08050 0.01627
1.06656 0.01591
1.05822 0.01511
1.06912 0.01386
1.05287 0.01425
1.04843 0.01352
1.06900 0.01321
1.06975 0.01424
1.04378 0.01424
1.05821 0.01520
1.07495 0.01584
1.01913 0.01726
1.05543 0.02095
1.04641 0.02189
1.05266 0.02582
1.04736 0.02966
1.07726 0.03598
1.03894 0.04890
