********************************************************************************
SetName: DYE605
Author: Emanuele R. Nocera <enocera@ed.ac.uk>
Date: May 2021
CodesUsed: VRAP v0.9 (version modified to handle isoscalar target) 
TheoryInput:  muR and muF equal to M_ll, as(MZ) = 0.118
PDFset: NNPDF3.1 NNLO
Warnings: 
********************************************************************************
1.14539 0.00000
1.14824 0.00000
1.15097 0.00000
1.15358 0.00000
1.15637 0.00000
1.15939 0.00000
1.16247 0.00000
1.16516 0.00000
1.16776 0.00000
1.17034 0.00000
1.18754 0.00000
1.18888 0.00000
1.18988 0.00000
1.19114 0.00000
1.19905 0.00000
1.22217 0.00000
1.26253 0.00000
1.14556 0.00000
1.14852 0.00000
1.15152 0.00000
1.15442 0.00000
1.15729 0.00000
1.16011 0.00000
1.16297 0.00000
1.16577 0.00000
1.16869 0.00000
1.17181 0.00000
1.19462 0.00000
1.19649 0.00000
1.19824 0.00000
1.20096 0.00000
1.20532 0.00000
1.20487 0.00000
1.22998 0.00000
1.31675 0.00000
1.14580 0.00000
1.14852 0.00000
1.15151 0.00000
1.15457 0.00000
1.15765 0.00000
1.16071 0.00000
1.16382 0.00000
1.16686 0.00000
1.17002 0.00000
1.17293 0.00000
1.19784 0.00000
1.20092 0.00000
1.20361 0.00000
1.20975 0.00000
1.21349 0.00000
1.21550 0.00000
1.21527 0.00000
1.27783 0.00000
1.14588 0.00000
1.14901 0.00000
1.15213 0.00000
1.15507 0.00000
1.15792 0.00000
1.16067 0.00000
1.16367 0.00000
1.16690 0.00000
1.17017 0.00000
1.17344 0.00000
1.19997 0.00000
1.20169 0.00000
1.20352 0.00000
1.21031 0.00000
1.22124 0.00000
1.23246 0.00000
1.24522 0.00000
1.37893 0.00000
1.14590 0.00000
1.14895 0.00000
1.15183 0.00000
1.15487 0.00000
1.15803 0.00000
1.16137 0.00000
1.16486 0.00000
1.16793 0.00000
1.17099 0.00000
1.17417 0.00000
1.20104 0.00000
1.20477 0.00000
1.20653 0.00000
1.21194 0.00000
1.22511 0.00000
1.25061 0.00000
1.31707 0.00000
1.50606 0.00000
1.14511 0.00000
1.14856 0.00000
1.15208 0.00000
1.15526 0.00000
1.15857 0.00000
1.16195 0.00000
1.16534 0.00000
1.16879 0.00000
1.17163 0.00000
1.17396 0.00000
1.20046 0.00000
1.20387 0.00000
1.20789 0.00000
1.21439 0.00000
1.23420 0.00000
1.27386 0.00000
1.34942 0.00000
1.95776 0.00000
1.16470 0.00000
1.16851 0.00000
1.17283 0.00000
1.17564 0.00000
1.20311 0.00000
1.20492 0.00000
1.20957 0.00000
1.21398 0.00000
1.22246 0.00000
1.25040 0.00000
1.29526 0.00000
1.37120 0.00000
