*******************************************************************************************
SetName: ATLASZPT7TEV_TOT
Author: Frank Petriello & Raja Boughezai
Date: 2016
CodesUsed: their own code 
TheoryInput: CT14, alphas(MZ)=0.118
PDFset: 
Warnings: 
********************************************************************************************
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
0.996 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1.005 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1. 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
1.033 0.00000
