#: table_doi: 10.17182/hepdata.85696.v2/t220
#: name: Table 220
#: description: Covariance matrix of normalized cross section at the parton level as a function of $M(\text{t}\bar{\text{t}})$.
#: data_file: data220.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DMTT
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1,1,7.28518524201e-08
2,1,-2.76358912412e-08
3,1,-2.55341017239e-08
4,1,1.98832252263e-09
5,1,-5.13222459985e-09
6,1,-1.57948359162e-09
7,1,-2.24889758717e-11
8,1,-1.94831607764e-10
9,1,-1.51723269217e-10
10,1,-1.65358509909e-11
1,2,-2.76358912412e-08
2,2,2.15963745038e-08
3,2,6.22267312011e-09
4,2,-3.19961003753e-09
5,2,1.20904765996e-09
6,2,-4.51969461843e-10
7,2,-5.31157720023e-10
8,2,1.8070488803e-11
9,2,-5.10048423699e-12
10,2,4.26810473768e-12
1,3,-2.55341017239e-08
2,3,6.22267312011e-09
3,3,1.72851663751e-08
4,3,-3.13020195343e-09
5,3,8.95186042436e-10
6,3,6.14503060955e-10
7,3,-2.32504143313e-10
8,3,7.37439600552e-12
9,3,1.01087257623e-10
10,3,-1.16457043387e-11
1,4,1.98832252263e-09
2,4,-3.19961003753e-09
3,4,-3.13020195343e-09
4,4,3.74164874167e-09
5,4,-5.3129629363e-10
6,4,3.3998736265e-11
7,4,3.92269186825e-10
8,4,-1.05690438823e-11
9,4,-7.30033236603e-12
10,4,-6.44559192129e-13
1,5,-5.13222459985e-09
2,5,1.20904765996e-09
3,5,8.95186042436e-10
4,5,-5.3129629363e-10
5,5,1.59209029119e-09
6,5,4.29492356467e-11
7,5,7.50155440929e-11
8,5,5.14248151959e-11
9,5,1.68186279042e-12
10,5,1.29852522219e-11
1,6,-1.57948359162e-09
2,6,-4.51969461843e-10
3,6,6.14503060955e-10
4,6,3.3998736265e-11
5,6,4.29492356467e-11
6,6,6.51576259797e-10
7,6,-6.77649660748e-11
8,6,4.27197265127e-11
9,6,1.9540684383e-11
10,6,-2.66546748425e-12
1,7,-2.24889758717e-11
2,7,-5.31157720023e-10
3,7,-2.32504143313e-10
4,7,3.92269186825e-10
5,7,7.50155440929e-11
6,7,-6.77649660748e-11
7,7,1.24833353277e-10
8,7,-1.40065262255e-11
9,7,-6.00098398624e-13
10,7,2.06903966871e-12
1,8,-1.94831607764e-10
2,8,1.8070488803e-11
3,8,7.37439600552e-12
4,8,-1.05690438823e-11
5,8,5.14248151959e-11
6,8,4.27197265127e-11
7,8,-1.40065262255e-11
8,8,1.73634723396e-11
9,8,-9.51752674836e-13
10,8,9.95659183635e-14
1,9,-1.51723269217e-10
2,9,-5.10048423699e-12
3,9,1.01087257623e-10
4,9,-7.30033236603e-12
5,9,1.68186279042e-12
6,9,1.9540684383e-11
7,9,-6.00098398624e-13
8,9,-9.51752674836e-13
9,9,4.19245494283e-12
10,9,-4.92086067852e-13
1,10,-1.65358509909e-11
2,10,4.26810473768e-12
3,10,-1.16457043387e-11
4,10,-6.44559192129e-13
5,10,1.29852522219e-11
6,10,-2.66546748425e-12
7,10,2.06903966871e-12
8,10,9.95659183635e-14
9,10,-4.92086067852e-13
10,10,2.95383345759e-13

