#: table_doi: 10.17182/hepdata.84154.v2/t46
#: name: Table 46
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_46.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,0.902072620113
3,1,-0.938153424846
4,1,-0.948356876409
5,1,-0.934043905401
6,1,-0.922154314466
7,1,-0.843260053219
8,1,-0.823123076185
9,1,-0.426466702473
10,1,-0.563523427134
11,1,-0.650581194267
1,2,0.902072620113
2,2,1.0
3,2,-0.822102286023
4,2,-0.968117016657
5,2,-0.977979837431
6,2,-0.970661300295
7,2,-0.910123744918
8,2,-0.891592969775
9,2,-0.609093984323
10,2,-0.641520211041
11,2,-0.685741902995
1,3,-0.938153424846
2,3,-0.822102286023
3,3,1.0
4,3,0.89650973614
5,3,0.808148906794
6,3,0.792307309617
7,3,0.648063112392
8,3,0.643540763199
9,3,0.279292276941
10,3,0.323535688477
11,3,0.423325644545
1,4,-0.948356876409
2,4,-0.968117016657
3,4,0.89650973614
4,4,1.0
5,4,0.964077523175
6,4,0.936546339376
7,4,0.842660957496
8,4,0.805693854406
9,4,0.487261060297
10,4,0.506940019233
11,4,0.575955500923
1,5,-0.934043905401
2,5,-0.977979837431
3,5,0.808148906794
4,5,0.964077523175
5,5,1.0
6,5,0.981855847216
7,5,0.943227137543
8,5,0.908425965301
9,5,0.577854327439
10,5,0.677691296124
11,5,0.745391935807
1,6,-0.922154314466
2,6,-0.970661300295
3,6,0.792307309617
4,6,0.936546339376
5,6,0.981855847216
6,6,1.0
7,6,0.949855833289
8,6,0.935448945854
9,6,0.653635334197
10,6,0.723332194914
11,6,0.751671854647
1,7,-0.843260053219
2,7,-0.910123744918
3,7,0.648063112392
4,7,0.842660957496
5,7,0.943227137543
6,7,0.949855833289
7,7,1.0
8,7,0.982468336349
9,7,0.607412076031
10,7,0.847399074854
11,7,0.878926419154
1,8,-0.823123076185
2,8,-0.891592969775
3,8,0.643540763199
4,8,0.805693854406
5,8,0.908425965301
6,8,0.935448945854
7,8,0.982468336349
8,8,1.0
9,8,0.617019740127
10,8,0.871228758903
11,8,0.889077779597
1,9,-0.426466702473
2,9,-0.609093984323
3,9,0.279292276941
4,9,0.487261060297
5,9,0.577854327439
6,9,0.653635334197
7,9,0.607412076031
8,9,0.617019740127
9,9,1.0
10,9,0.668564094503
11,9,0.547230675207
1,10,-0.563523427134
2,10,-0.641520211041
3,10,0.323535688477
4,10,0.506940019233
5,10,0.677691296124
6,10,0.723332194914
7,10,0.847399074854
8,10,0.871228758903
9,10,0.668564094503
10,10,1.0
11,10,0.924435111343
1,11,-0.650581194267
2,11,-0.685741902995
3,11,0.423325644545
4,11,0.575955500923
5,11,0.745391935807
6,11,0.751671854647
7,11,0.878926419154
8,11,0.889077779597
9,11,0.547230675207
10,11,0.924435111343
11,11,1.0

