#: table_doi: 10.17182/hepdata.84154.v2/t216
#: name: Table 216
#: description: Statistical correlation matrix between $y_{boost}$ (rows) in the 4-jet inclusive configuration and $y_{boost}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [0-0.1, 0.1-0.2, 0.2-0.3, 0.3-0.4, 0.4-0.5, 0.5-0.6, 0.6-0.7, 0.7-0.8, 0.8-0.9, 0.9-1, 1-1.1, 1.1-1.2, 1.2-1.3, 1.3-1.4, 1.4-1.5, 1.5-2] GeV Columns: [0-0.1, 0.1-0.2, 0.2-0.3, 0.3-0.4, 0.4-0.5, 0.5-0.6, 0.6-0.7, 0.7-0.8, 0.8-0.9, 0.9-1, 1-1.1, 1.1-1.2, 1.2-1.3, 1.3-1.4, 1.4-1.5, 1.5-2] GeV

#: data_file: Table_216.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_YBOOST_4J2B_YBOOST_4J2B (rows vs columns)
1,1,1
2,1,0.723874
3,1,0.113511
4,1,-0.26994
5,1,-0.401598
6,1,-0.417334
7,1,-0.373684
8,1,-0.305181
9,1,-0.240349
10,1,-0.18311
11,1,-0.137049
12,1,-0.104867
13,1,-0.0849442
14,1,-0.0713172
15,1,-0.0613779
16,1,-0.0430783
1,2,0.723874
2,2,1
3,2,0.568767
4,2,-0.056449
5,2,-0.386893
6,2,-0.485889
7,2,-0.4735
8,2,-0.408277
9,2,-0.334949
10,2,-0.262849
11,2,-0.202956
12,2,-0.153083
13,2,-0.120746
14,2,-0.0987888
15,2,-0.0854454
16,2,-0.0576422
1,3,0.113511
2,3,0.568767
3,3,1
4,3,0.577746
5,3,-0.00557763
6,3,-0.328212
7,3,-0.438584
8,3,-0.431477
9,3,-0.385434
10,3,-0.322057
11,3,-0.254831
12,3,-0.19346
13,3,-0.149415
14,3,-0.114397
15,3,-0.0950372
16,3,-0.0601373
1,4,-0.26994
2,4,-0.056449
3,4,0.577746
4,4,1
5,4,0.630758
6,4,0.0979931
7,4,-0.228681
8,4,-0.353781
9,4,-0.37332
10,4,-0.33861
11,4,-0.284569
12,4,-0.222443
13,4,-0.171006
14,4,-0.124027
15,4,-0.100171
16,4,-0.0630058
1,5,-0.401598
2,5,-0.386893
3,5,-0.00557763
4,5,0.630758
5,5,1
6,5,0.673784
7,5,0.155736
8,5,-0.1656
9,5,-0.301085
10,5,-0.326739
11,5,-0.304141
12,5,-0.251093
13,5,-0.197583
14,5,-0.140407
15,5,-0.112318
16,5,-0.0691529
1,6,-0.417334
2,6,-0.485889
3,6,-0.328212
4,6,0.0979931
5,6,0.673784
6,6,1
7,6,0.68461
8,6,0.180468
9,6,-0.135337
10,6,-0.270081
11,6,-0.302232
12,6,-0.273637
13,6,-0.226661
14,6,-0.167467
15,6,-0.12862
16,6,-0.0737781
1,7,-0.373684
2,7,-0.4735
3,7,-0.438584
4,7,-0.228681
5,7,0.155736
6,7,0.68461
7,7,1
8,7,0.691103
9,7,0.203185
10,7,-0.115381
11,7,-0.249875
12,7,-0.277734
13,7,-0.253602
14,7,-0.202783
15,7,-0.155202
16,7,-0.0852805
1,8,-0.305181
2,8,-0.408277
3,8,-0.431477
4,8,-0.353781
5,8,-0.1656
6,8,0.180468
7,8,0.691103
8,8,1
9,8,0.693882
10,8,0.21644
11,8,-0.093735
12,8,-0.236598
13,8,-0.266449
14,8,-0.240046
15,8,-0.185662
16,8,-0.105179
1,9,-0.240349
2,9,-0.334949
3,9,-0.385434
4,9,-0.37332
5,9,-0.301085
6,9,-0.135337
7,9,0.203185
8,9,0.693882
9,9,1
10,9,0.713828
11,9,0.244557
12,9,-0.0841788
13,9,-0.218594
14,9,-0.244476
15,9,-0.211207
16,9,-0.136341
1,10,-0.18311
2,10,-0.262849
3,10,-0.322057
4,10,-0.33861
5,10,-0.326739
6,10,-0.270081
7,10,-0.115381
8,10,0.21644
9,10,0.713828
10,10,1
11,10,0.719971
12,10,0.25221
13,10,-0.0512886
14,10,-0.192221
15,10,-0.217067
16,10,-0.171954
1,11,-0.137049
2,11,-0.202956
3,11,-0.254831
4,11,-0.284569
5,11,-0.304141
6,11,-0.302232
7,11,-0.249875
8,11,-0.093735
9,11,0.244557
10,11,0.719971
11,11,1
12,11,0.731315
13,11,0.286932
14,11,-0.0339208
15,11,-0.171574
16,11,-0.204766
1,12,-0.104867
2,12,-0.153083
3,12,-0.19346
4,12,-0.222443
5,12,-0.251093
6,12,-0.273637
7,12,-0.277734
8,12,-0.236598
9,12,-0.0841788
10,12,0.25221
11,12,0.731315
12,12,1
13,12,0.752853
14,12,0.305127
15,12,-0.00507035
16,12,-0.210784
1,13,-0.0849442
2,13,-0.120746
3,13,-0.149415
4,13,-0.171006
5,13,-0.197583
6,13,-0.226661
7,13,-0.253602
8,13,-0.266449
9,13,-0.218594
10,13,-0.0512886
11,13,0.286932
12,13,0.752853
13,13,1
14,13,0.752498
15,13,0.336703
16,13,-0.157803
1,14,-0.0713172
2,14,-0.0987888
3,14,-0.114397
4,14,-0.124027
5,14,-0.140407
6,14,-0.167467
7,14,-0.202783
8,14,-0.240046
9,14,-0.244476
10,14,-0.192221
11,14,-0.0339208
12,14,0.305127
13,14,0.752498
14,14,1
15,14,0.775926
16,14,0.00981103
1,15,-0.0613779
2,15,-0.0854454
3,15,-0.0950372
4,15,-0.100171
5,15,-0.112318
6,15,-0.12862
7,15,-0.155202
8,15,-0.185662
9,15,-0.211207
10,15,-0.217067
11,15,-0.171574
12,15,-0.00507035
13,15,0.336703
14,15,0.775926
15,15,1
16,15,0.32881
1,16,-0.0430783
2,16,-0.0576422
3,16,-0.0601373
4,16,-0.0630058
5,16,-0.0691529
6,16,-0.0737781
7,16,-0.0852805
8,16,-0.105179
9,16,-0.136341
10,16,-0.171954
11,16,-0.204766
12,16,-0.210784
13,16,-0.157803
14,16,0.00981103
15,16,0.32881
16,16,1

