#: table_doi: 10.17182/hepdata.84154.v2/t137
#: name: Table 137
#: description: Statistical correlation matrix between $\chi^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $\chi^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [1-1.4, 1.4-1.9, 1.9-2.5, 2.5-3.2, 3.2-4.2, 4.2-5.5, 5.5-7.2, 7.2-9.3, 9.3-12, 12-20] GeV Columns: [1-1.4, 1.4-1.9, 1.9-2.5, 2.5-3.2, 3.2-4.2, 4.2-5.5, 5.5-7.2, 7.2-9.3, 9.3-12, 12-20] GeV

#: data_file: Table_137.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_CHI_TTBAR_4J2B_CHI_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.695894
3,1,0.17571
4,1,-0.113464
5,1,-0.228625
6,1,-0.232577
7,1,-0.188411
8,1,-0.128837
9,1,-0.0848563
10,1,-0.039203
1,2,0.695894
2,2,1
3,2,0.597327
4,2,0.109404
5,2,-0.149649
6,2,-0.238473
7,2,-0.222536
8,2,-0.167762
9,2,-0.115391
10,2,-0.0578903
1,3,0.17571
2,3,0.597327
3,3,1
4,3,0.634942
5,3,0.170719
6,3,-0.0959179
7,3,-0.176572
8,3,-0.171102
9,3,-0.126892
10,3,-0.0699603
1,4,-0.113464
2,4,0.109404
3,4,0.634942
4,4,1
5,4,0.6526
6,4,0.178047
7,4,-0.0585778
8,4,-0.135663
9,4,-0.12455
10,4,-0.0761309
1,5,-0.228625
2,5,-0.149649
3,5,0.170719
4,5,0.6526
5,5,1
6,5,0.645131
7,5,0.180575
8,5,-0.0457479
9,5,-0.107034
10,5,-0.0909099
1,6,-0.232577
2,6,-0.238473
3,6,-0.0959179
4,6,0.178047
5,6,0.645131
6,6,1
7,6,0.639157
8,6,0.185867
9,6,-0.0245898
10,6,-0.0962454
1,7,-0.188411
2,7,-0.222536
3,7,-0.176572
4,7,-0.0585778
5,7,0.180575
6,7,0.639157
7,7,1
8,7,0.655638
9,7,0.215791
10,7,-0.0568897
1,8,-0.128837
2,8,-0.167762
3,8,-0.171102
4,8,-0.135663
5,8,-0.0457479
6,8,0.185867
7,8,0.655638
8,8,1
9,8,0.687383
10,8,0.125806
1,9,-0.0848563
2,9,-0.115391
3,9,-0.126892
4,9,-0.12455
5,9,-0.107034
6,9,-0.0245898
7,9,0.215791
8,9,0.687383
9,9,1
10,9,0.523437
1,10,-0.039203
2,10,-0.0578903
3,10,-0.0699603
4,10,-0.0761309
5,10,-0.0909099
6,10,-0.0962454
7,10,-0.0568897
8,10,0.125806
9,10,0.523437
10,10,1

