#: table_doi: 10.17182/hepdata.84154.v2/t210
#: name: Table 210
#: description: Statistical correlation matrix between $H_T^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $y_{boost}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [0-90, 90-140, 140-195, 195-255, 255-320, 320-385, 385-455, 455-530, 530-610, 610-695, 695-780, 780-865, 865-950, 950-1041, 1041-1500] GeV Columns: [0-0.1, 0.1-0.2, 0.2-0.3, 0.3-0.4, 0.4-0.5, 0.5-0.6, 0.6-0.7, 0.7-0.8, 0.8-0.9, 0.9-1, 1-1.1, 1.1-1.2, 1.2-1.3, 1.3-1.4, 1.4-1.5, 1.5-2] GeV

#: data_file: Table_210.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_HT_TTBAR_4J2B_YBOOST_4J2B (rows vs columns)
1,1,-0.00704506
2,1,-0.00733497
3,1,-0.00536539
4,1,-0.00119278
5,1,0.0034033
6,1,0.00717479
7,1,0.00627276
8,1,0.00323622
9,1,-0.00103376
10,1,-0.000361074
11,1,0.00343211
12,1,0.00431223
13,1,0.00645069
14,1,0.00704586
15,1,0.0014859
16,1,-0.00677681
1,2,-0.00189247
2,2,-0.00356102
3,2,-0.0044937
4,2,-0.0045907
5,2,-0.00108556
6,2,0.00257304
7,2,0.000818704
8,2,0.00021368
9,2,-0.00123333
10,2,0.00145064
11,2,0.00784772
12,2,0.00539146
13,2,0.00535047
14,2,0.00696976
15,2,0.00291162
16,2,-0.00447533
1,3,-0.00159961
2,3,-0.00344011
3,3,-0.00300753
4,3,-0.00463696
5,3,-0.00468209
6,3,-0.00449407
7,3,-0.00435369
8,3,0.00296179
9,3,0.00695252
10,3,0.00702397
11,3,0.00941224
12,3,0.00490304
13,3,-0.000363957
14,3,-0.00347876
15,3,-0.000893484
16,3,0.00448694
1,4,-0.00569144
2,4,-0.00618951
3,4,-0.00340012
4,4,-0.00454935
5,4,-0.00518041
6,4,-0.00549192
7,4,0.00070857
8,4,0.00484217
9,4,0.00806454
10,4,0.00892416
11,4,0.00725322
12,4,0.00305414
13,4,-0.000598817
14,4,-0.00289993
15,4,0.000371501
16,4,0.00818639
1,5,-0.00137727
2,5,-0.00459339
3,5,-0.000931994
4,5,0.00014898
5,5,-0.00159023
6,5,-0.00429075
7,5,-0.00202369
8,5,-3.43027e-05
9,5,0.00205825
10,5,-0.000536759
11,5,0.000309363
12,5,0.00233023
13,5,0.00256546
14,5,0.001481
15,5,0.00195544
16,5,0.00877645
1,6,0.00593059
2,6,0.00286483
3,6,0.0028127
4,6,0.00274237
5,6,-0.0018571
6,6,-0.00686238
7,6,-0.00732616
8,6,-0.00367918
9,6,0.000995022
