#: table_doi: 10.17182/hepdata.84154.v2/t209
#: name: Table 209
#: description: Statistical correlation matrix between $H_T^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $H_T^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [0-90, 90-140, 140-195, 195-255, 255-320, 320-385, 385-455, 455-530, 530-610, 610-695, 695-780, 780-865, 865-950, 950-1041, 1041-1500] GeV Columns: [0-90, 90-140, 140-195, 195-255, 255-320, 320-385, 385-455, 455-530, 530-610, 610-695, 695-780, 780-865, 865-950, 950-1041, 1041-1500] GeV

#: data_file: Table_209.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_HT_TTBAR_4J2B_HT_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.610362
3,1,-0.065928
4,1,-0.370697
5,1,-0.362989
6,1,-0.242315
7,1,-0.123453
8,1,-0.0613156
9,1,-0.0435749
10,1,-0.0332275
11,1,-0.0246172
12,1,-0.0165969
13,1,-0.00648802
14,1,-0.00772651
15,1,-0.00916803
1,2,0.610362
2,2,1
3,2,0.457123
4,2,-0.349778
5,2,-0.535627
6,2,-0.393266
7,2,-0.216491
8,2,-0.11439
9,2,-0.073554
10,2,-0.058605
11,2,-0.0413298
12,2,-0.0336741
13,2,-0.0211682
14,2,-0.0130711
15,2,-0.00987018
1,3,-0.065928
2,3,0.457123
3,3,1
4,3,0.294618
5,3,-0.432701
6,3,-0.486401
7,3,-0.310258
8,3,-0.171087
9,3,-0.0992977
10,3,-0.0739485
11,3,-0.0520367
12,3,-0.0434661
13,3,-0.031734
14,3,-0.0202804
15,3,-0.012363
1,4,-0.370697
2,4,-0.349778
3,4,0.294618
4,4,1
5,4,0.30497
6,4,-0.339832
7,4,-0.370491
8,4,-0.219513
9,4,-0.120292
10,4,-0.0726261
11,4,-0.0464727
12,4,-0.0415075
13,4,-0.0345934
14,4,-0.0210383
15,4,-0.0117242
1,5,-0.362989
2,5,-0.535627
3,5,-0.432701
4,5,0.30497
5,5,1
6,5,0.3336
7,5,-0.27579
8,5,-0.267355
9,5,-0.142496
10,5,-0.0771176
11,5,-0.0487011
12,5,-0.031766
13,5,-0.0263684
14,5,-0.0155234
15,5,-0.00812119
1,6,-0.242315
2,6,-0.393266
3,6,-0.486401
4,6,-0.339832
5,6,0.3336
6,6,1
7,6,0.32508
8,6,-0.244963
9,6,-0.206252
10,6,-0.100547
11,6,-0.0579921
12,6,-0.0278995
13,6,-0.0158654
14,6,-0.0126827
15,6,-0.0116132
1,7,-0.123453
2,7,-0.216491
3,7,-0.310258
4,7,-0.370491
5,7,-0.27579
6,7,0.32508
7,7,1
8,7,0.290525
9,7,-0.216102
10,7,-0.160238
11,7,-0.069212
12,7,-0.035145
13,7,-0.0213711
14,7,-0.0154362
15,7,-0.012448
1,8,-0.0613156
2,8,-0.11439
3,8,-0.171087
4,8,-0.219513
5,8,-0.267355
6,8,-0.244963
7,8,0.290525
8,8,1
9,8,0.284821
10,8,-0.190263
11,8,-0.128364
12,8,-0.0500908
13,8,-0.0330224
14,8,-0.0216633
15,8,-0.0177818
1,9,-0.0435749
2,9,-0.073554
3,9,-0.0992977
4,9,-0.120292
5,9,-0.142496
6,9,-0.206252
7,9,-0.216102
8,9,0.284821
9,9,1
10,9,0.280462
11,9,-0.1722
12,9,-0.114723
13,9,-0.0509666
14,9,-0.0217939
15,9,-0.0232002
1,10,-0.0332275
2,10,-0.058605
3,10,-0.0739485
4,10,-0.0726261
5,10,-0.0771176
6,10,-0.100547
7,10,-0.160238
8,10,-0.190263
9,10,0.280462
10,10,1
11,10,0.296382
12,10,-0.150041
13,10,-0.109229
14,10,-0.0469444
15,10,-0.0199788
1,11,-0.0246172
2,11,-0.0413298
3,11,-0.0520367
4,11,-0.0464727
5,11,-0.0487011
6,11,-0.0579921
7,11,-0.069212
8,11,-0.128364
9,11,-0.1722
10,11,0.296382
11,11,1
12,11,0.333577
13,11,-0.115166
14,11,-0.118188
15,11,-0.0397107
1,12,-0.0165969
2,12,-0.0336741
3,12,-0.0434661
4,12,-0.0415075
5,12,-0.031766
6,12,-0.0278995
7,12,-0.035145
8,12,-0.0500908
9,12,-0.114723
10,12,-0.150041
11,12,0.333577
12,12,1
13,12,0.406409
14,12,-0.0894978
15,12,-0.092229
1,13,-0.00648802
2,13,-0.0211682
3,13,-0.031734
4,13,-0.0345934
5,13,-0.0263684
6,13,-0.0158654
7,13,-0.0213711
8,13,-0.0330224
9,13,-0.0509666
10,13,-0.109229
11,13,-0.115166
12,13,0.406409
13,13,1
14,13,0.444531
15,13,-0.119154
1,14,-0.00772651
2,14,-0.0130711
3,14,-0.0202804
4,14,-0.0210383
5,14,-0.0155234
6,14,-0.0126827
7,14,-0.0154362
8,14,-0.0216633
9,14,-0.0217939
10,14,-0.0469444
11,14,-0.118188
12,14,-0.0894978
13,14,0.444531
14,14,1
15,14,0.142744
1,15,-0.00916803
2,15,-0.00987018
3,15,-0.012363
4,15,-0.0117242
5,15,-0.00812119
6,15,-0.0116132
7,15,-0.012448
8,15,-0.0177818
9,15,-0.0232002
10,15,-0.0199788
11,15,-0.0397107
12,15,-0.092229
13,15,-0.119154
14,15,0.142744
15,15,1

