#: table_doi: 10.17182/hepdata.84154.v2/t155
#: name: Table 155
#: description: Statistical correlation matrix between $H_T^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $y_{boost}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [0-90, 90-140, 140-195, 195-255, 255-320, 320-385, 385-455, 455-530, 530-610, 610-695, 695-780, 780-865, 865-950, 950-1041, 1041-1500] GeV Columns: [0-0.1, 0.1-0.2, 0.2-0.3, 0.3-0.4, 0.4-0.5, 0.5-0.6, 0.6-0.7, 0.7-0.8, 0.8-0.9, 0.9-1, 1-1.1, 1.1-1.2, 1.2-1.3, 1.3-1.4, 1.4-1.5, 1.5-2] GeV

#: data_file: Table_155.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_HT_TTBAR_4J2B_YBOOST_4J2B (rows vs columns)
1,1,0.0879873
2,1,0.117053
3,1,0.128187
4,1,0.126479
5,1,0.123082
6,1,0.119906
7,1,0.11316
8,1,0.105013
9,1,0.0951345
10,1,0.0894465
11,1,0.0860963
12,1,0.078632
13,1,0.0733739
14,1,0.0661299
15,1,0.0554649
16,1,0.0342463
1,2,0.141534
2,2,0.184325
3,2,0.197832
4,2,0.189754
5,2,0.181372
6,2,0.174504
7,2,0.163915
8,2,0.15507
9,2,0.144648
10,2,0.137415
11,2,0.132618
12,2,0.117934
13,2,0.106898
14,2,0.0964895
15,2,0.0846453
16,2,0.0577254
1,3,0.166642
2,3,0.217022
3,3,0.234057
4,3,0.223416
5,3,0.210191
6,3,0.198725
7,3,0.188074
8,3,0.184157
9,3,0.176639
10,3,0.165577
11,3,0.155457
12,3,0.136949
13,3,0.119576
14,3,0.103006
15,3,0.0955223
16,3,0.0762749
1,4,0.157721
2,4,0.207634
3,4,0.225987
4,4,0.215989
5,4,0.202722
6,4,0.191248
7,4,0.185853
8,4,0.179765
9,4,0.172013
10,4,0.161998
11,4,0.1489
12,4,0.131053
13,4,0.115404
14,4,0.0999686
15,4,0.0934412
16,4,0.0771317
