#: table_doi: 10.17182/hepdata.84154.v2/t45
#: name: Table 45
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$.

#: data_file: Table_45.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
m^{t\bar{t}} bin,m^{t\bar{t}} bin,
1,1,1.0
2,1,0.951019384877
3,1,0.81233501771
4,1,0.779868086667
5,1,0.780825572772
6,1,0.785853627087
7,1,0.761055039058
8,1,0.724535600643
9,1,0.807152488247
10,1,0.730342902549
11,1,0.547043345513
1,2,0.951019384877
2,2,1.0
3,2,0.944866571373
4,2,0.919568033141
5,2,0.917735896373
6,2,0.920306627245
7,2,0.898903258055
8,2,0.870649488772
9,2,0.912621986512
10,2,0.853436002369
11,2,0.712292205397
1,3,0.81233501771
2,3,0.944866571373
3,3,1.0
4,3,0.994380164972
5,3,0.990258998244
6,3,0.990029577937
7,3,0.974655694447
8,3,0.96004122489
9,3,0.966994853179
10,3,0.920375656808
11,3,0.833187579541
1,4,0.779868086667
2,4,0.919568033141
3,4,0.994380164972
4,4,1.0
5,4,0.99789220453
6,4,0.996217695495
7,4,0.986202683387
8,4,0.973316978644
9,4,0.975863934096
10,4,0.934142922181
11,4,0.860650212647
1,5,0.780825572772
2,5,0.917735896373
3,5,0.990258998244
4,5,0.99789220453
5,5,1.0
6,5,0.998936468125
7,5,0.994076066025
8,5,0.983808064366
9,5,0.98051756031
10,5,0.951437025026
11,5,0.88499673936
1,6,0.785853627087
2,6,0.920306627245
3,6,0.990029577937
4,6,0.996217695495
5,6,0.998936468125
6,6,1.0
7,6,0.99436472706
8,6,0.98578893173
9,6,0.985568094889
10,6,0.955924784478
11,6,0.885127768654
1,7,0.761055039058
2,7,0.898903258055
3,7,0.974655694447
4,7,0.986202683387
5,7,0.994076066025
6,7,0.99436472706
7,7,1.0
8,7,0.995841637452
9,7,0.97861186222
10,7,0.975051542802
11,7,0.923670084194
1,8,0.724535600643
2,8,0.870649488772
3,8,0.96004122489
4,8,0.973316978644
5,8,0.983808064366
6,8,0.98578893173
7,8,0.995841637452
8,8,1.0
9,8,0.972069181501
10,8,0.983197079439
11,8,0.946338453736
1,9,0.807152488247
2,9,0.912621986512
3,9,0.966994853179
4,9,0.975863934096
5,9,0.98051756031
6,9,0.985568094889
7,9,0.97861186222
8,9,0.972069181501
9,9,1.0
10,9,0.957114186
11,9,0.864769498856
1,10,0.730342902549
2,10,0.853436002369
3,10,0.920375656808
4,10,0.934142922181
5,10,0.951437025026
6,10,0.955924784478
7,10,0.975051542802
8,10,0.983197079439
9,10,0.957114186
10,10,1.0
11,10,0.957870492399
1,11,0.547043345513
2,11,0.712292205397
3,11,0.833187579541
4,11,0.860650212647
5,11,0.88499673936
6,11,0.885127768654
7,11,0.923670084194
8,11,0.946338453736
9,11,0.864769498856
10,11,0.957870492399
11,11,1.0

