#: table_doi: 10.17182/hepdata.85696.v2/t187
#: name: Table 187
#: description: Covariance matrix of absolute cross section at the parton level as a function of $M(\text{t}\bar{\text{t}})$.
#: data_file: data187.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DMTT
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1,1,0.00335226506486
2,1,-0.00267021142883
3,1,-0.00224127870496
4,1,-0.000526775491059
5,1,-0.0006090024474
6,1,-0.000234436133568
7,1,-6.91107644154e-05
8,1,-3.12855498319e-05
9,1,-1.35846909043e-05
10,1,-1.87086890167e-06
1,2,-0.00267021142883
2,2,0.00846734552144
3,2,0.00572576118457
4,2,0.00234196808074
5,2,0.00157465507472
6,2,0.000720026232061
7,2,0.000196973719547
8,2,9.27087971167e-05
9,2,3.21174955526e-05
10,2,3.03040342161e-06
1,3,-0.00224127870496
2,3,0.00572576118457
3,3,0.00498835455262
4,3,0.00170609026975
5,3,0.00117325829949
6,3,0.000591332327416
7,3,0.000156917569192
8,3,6.87758118296e-05
9,3,2.99472252903e-05
10,3,1.41114264078e-06
1,4,-0.000526775491059
2,4,0.00234196808074
3,4,0.00170609026975
4,4,0.0010317921113
5,4,0.000472957141106
6,4,0.000254810965675
7,4,9.35605960089e-05
8,4,2.9811265695e-05
9,4,1.09281300155e-05
10,4,8.06599538738e-07
1,5,-0.0006090024474
2,5,0.00157465507472
3,5,0.00117325829949
4,5,0.000472957141106
5,5,0.000398147296603
6,5,0.000155247295286
7,5,4.88649200374e-05
8,5,2.15302742629e-05
9,5,6.85520016554e-06
10,5,1.2884103403e-06
1,6,-0.000234436133568
2,6,0.000720026232061
3,6,0.000591332327416
4,6,0.000254810965675
5,6,0.000155247295286
6,6,0.000113837921381
7,6,1.85459062345e-05
8,6,1.17468555441e-05
9,6,4.48223512362e-06
10,6,1.17667173717e-07
1,7,-6.91107644154e-05
2,7,0.000196973719547
3,7,0.000156917569192
4,7,9.35605960089e-05
5,7,4.88649200374e-05
6,7,1.85459062345e-05
7,7,1.32782943224e-05
8,7,1.86817491172e-06
9,7,9.88101268988e-07
10,7,1.90914759192e-07
1,8,-3.12855498319e-05
2,8,9.27087971167e-05
3,8,6.87758118296e-05
4,8,2.9811265695e-05
5,8,2.15302742629e-05
6,8,1.17468555441e-05
7,8,1.86817491172e-06
8,8,2.1289618305e-06
9,8,3.56598066017e-07
10,8,3.79740250372e-08
1,9,-1.35846909043e-05
2,9,3.21174955526e-05
3,9,2.99472252903e-05
4,9,1.09281300155e-05
5,9,6.85520016554e-06
6,9,4.48223512362e-06
7,9,9.88101268988e-07
8,9,3.56598066017e-07
9,9,3.8821914394e-07
10,9,-1.59790524462e-08
1,10,-1.87086890167e-06
2,10,3.03040342161e-06
3,10,1.41114264078e-06
4,10,8.06599538738e-07
5,10,1.2884103403e-06
6,10,1.17667173717e-07
7,10,1.90914759192e-07
8,10,3.79740250372e-08
9,10,-1.59790524462e-08
10,10,1.79247444756e-08

