0.0  0.2 0.02 0.04 0.01 0.11 0.03 0.02 0.03 0.31 
0.2  0.4 0.01 0.09 0.04 0.22 0.08 0.07 0.08 0.32 
0.4  0.6 0.02 0.11 0.06 0.22 0.13 0.17 0.15 0.33 
0.6  0.8 0.03 0.15 0.07 0.34 0.14 0.30 0.22 0.32 
0.8  1.0 0.03 0.20 0.07 0.42 0.11 0.47 0.24 0.34 
1.0  1.2 0.04 0.18 0.08 0.33 0.09 0.69 0.27 0.38 
1.2  1.4 0.05 0.18 0.15 0.67 0.06 0.78 0.28 0.43 
1.4  1.6 0.04 0.14 0.14 1.10 0.04 0.85 0.28 0.50 
1.6  1.8 0.08 0.12 0.26 0.92 0.03 0.89 0.29 0.55 
1.8  2.05 0.22 0.13 0.31 0.82 0.06 0.80 0.34 0.62 
2.05  2.3 0.44 0.21 0.53 0.59 0.17 0.85 0.42 0.83 
2.3  2.6 0.45 0.19 0.62 0.40 0.27 0.86 0.50 1.10 
2.6  3.0 0.14 0.10 0.60 0.43 0.28 0.65 0.53 2.30 

