6
0.0  0.4
23
 50    60  +1.1 -1.1    +2.7 -2.6    +1.8 -1.8    +0.0 +0.0    +0.0 +0.0    +3.0 -3.0  
 60    70  +0.8 -0.9    +2.7 -2.6    +2.0 -1.9    +0.0 +0.0    +0.0 +0.0    +2.8 -2.7  
 70    80  +0.7 -0.7    +2.7 -2.6    +2.1 -2.1    +0.0 +0.0    +0.0 +0.0    +2.8 -2.7  
 80    90  +0.6 -0.6    +2.7 -2.6    +2.2 -2.2    +0.0 +0.0    +0.0 +0.0    +2.7 -2.7  
 90   100  +0.6 -0.6    +2.7 -2.6    +2.4 -2.3    -0.0 +0.0    +0.0 +0.0    +2.8 -2.7  
100   110  +0.6 -0.6    +2.7 -2.7    +2.5 -2.4    -0.2 +0.2    +0.0 +0.0    +2.8 -2.7  
110   120  +0.5 -0.5    +2.8 -2.7    +2.6 -2.6    -0.1 +0.1    +0.0 +0.0    +2.8 -2.8  
120   130  +0.5 -0.5    +2.8 -2.7    +2.7 -2.7    +0.1 -0.1    +0.0 +0.0    +2.9 -2.8  
130   145  +0.5 -0.5    +2.9 -2.8    +2.9 -2.8    +0.2 -0.2    +0.0 +0.0    +3.0 -2.9  
145   160  +0.5 -0.5    +2.9 -2.8    +3.0 -3.0    +0.4 -0.4    +0.0 +0.0    +3.1 -3.0  
160   180  +0.5 -0.5    +3.0 -2.9    +3.2 -3.2    +0.6 -0.6    +0.0 +0.0    +3.2 -3.1  
180   200  +0.5 -0.5    +3.1 -3.0    +3.5 -3.4    +0.9 -0.9    +0.0 +0.0    +3.3 -3.2  
200   220  +0.5 -0.5    +3.2 -3.1    +3.7 -3.7    +1.2 -1.2    +0.0 +0.0    +3.5 -3.4  
220   240  +0.5 -0.5    +3.3 -3.2    +4.0 -3.9    +1.4 -1.4    +0.0 +0.0    +3.6 -3.5  
240   265  +0.6 -0.6    +3.5 -3.4    +4.3 -4.2    +1.8 -1.7    +0.0 +0.0    +3.8 -3.7  
265   295  +0.6 -0.6    +3.7 -3.6    +4.7 -4.6    +2.2 -2.1    +0.0 +0.0    +4.0 -3.9  
295   325  +0.7 -0.7    +3.9 -3.8    +5.2 -5.0    +2.7 -2.6    +0.0 +0.0    +4.3 -4.2  
325   360  +0.8 -0.8    +4.2 -4.1    +5.7 -5.5    +3.2 -3.1    +0.0 +0.0    +4.6 -4.5  
360   400  +1.0 -1.0    +4.6 -4.4    +6.4 -6.2    +4.0 -3.9    +0.0 +0.0    +5.0 -4.8  
400   445  +1.2 -1.2    +5.1 -4.9    +7.4 -7.1    +5.0 -4.8    +0.0 +0.0    +5.4 -5.3  
445   490  +1.5 -1.5    +5.8 -5.5    +8.6 -8.1    +6.2 -5.9    +0.0 +0.0    +6.0 -5.8  
490   540  +2.0 -2.1    +6.6 -6.2    +10.0 -9.5   +7.8 -7.3    +0.0 +0.0    +6.8 -6.5  
540   665  +3.0 -3.1    +8.0 -7.4    +12.5 -11.7  +10.6 -9.6   +0.0 +0.0    +8.0 -7.6  
 50    60  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +1.5 -1.5    +0.4 -0.4  
 60    70  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +1.2 -1.2    +0.3 -0.3  
 70    80  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +1.0 -1.0    +0.3 -0.3  
 80    90  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.9 -0.9    +0.2 -0.2  
 90   100  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.8 -0.8    +0.2 -0.2  
100   110  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.8 -0.8    +0.2 -0.2  
110   120  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.7 -0.7    +0.2 -0.2  
120   130  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.7 -0.7    +0.2 -0.2  
130   145  +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.2 -0.2  
145   160  +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.2 -0.2  
160   180  +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.2 -0.2  
180   200  +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
200   220  +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
220   240  +6.5 -5.8    +0.6 -0.6    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
240   265  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
265   295  +6.5 -5.8    +0.4 -0.4    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
295   325  +6.5 -5.8    +0.3 -0.3    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
325   360  +6.5 -5.8    +0.2 -0.2    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
360   400  +6.5 -5.8    +0.3 -0.3    +0.0 +0.0    +0.0 +0.0    +0.6 -0.6    +0.1 -0.1  
400   445  +6.5 -5.8    +0.5 -0.5    +0.0 +0.0    +0.0 +0.0    +0.7 -0.7    +0.2 -0.2  
445   490  +6.5 -5.8    +0.8 -0.8    +0.0 +0.0    +0.0 +0.0    +0.8 -0.8    +0.2 -0.2  
