#: table_doi: 10.17182/hepdata.89322.v1/t7
#: name: Table 5b
#: description: Size of the $W^{+}$ the cross-section (differential in $\eta_{\mu}$, as a function of $|\eta_{\mu}|$. The central values are provided along with the statistical and systematic uncertainties together with the sign information. gThe uncertainties are given in percent.
#: data_file: systematic_paper_hepdata_wm.yaml
#: keyword reactions: P P --> W X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Proton-Proton Scattering | W Production | Charge Asymmetry | Systematic Uncertainties
#: keyword cmenergies: 8000.0
#: RE,,,P P --> (W-) X
#: SQRT(S) [GeV],,,8000.0
#: ,,,Individual cross-sections, sums and ratio
Absolute muon $\eta$,Absolute muon $\eta$ LOW,Absolute muon $\eta$ HIGH,W-,"sys,Muon ID Smearing +","sys,Muon ID Smearing -","sys,Muon MS Smearing +","sys,Muon MS Smearing -","sys,Muon Scale +","sys,Muon Scale -","sys,Muon TrigEff Isolation +","sys,Muon TrigEff Isolation -","sys,Muon TrigEff Mass Win +","sys,Muon TrigEff Mass Win -","sys,Muon TrigEff Stat. +","sys,Muon TrigEff Stat. -","sys,Muon RecoEff Syst +","sys,Muon RecoEff Syst -","sys,Muon Sagitta +","sys,Muon Sagitta -","sys,Muon IsoEff +","sys,Muon IsoEff -","sys,Muon D0Eff +","sys,Muon D0Eff -","sys,Muon RecoEff Stat +","sys,Muon RecoEff Stat -","sys,SoftTrkScale +","sys,SoftTrkScale -","sys,SoftTrkResoCorr +","sys,SoftTrkResoCorr -","sys,MET Jet Syst 0 +","sys,MET Jet Syst 0 -","sys,MET Jet Syst 1 +","sys,MET Jet Syst 1 -","sys,MET Jet Syst 2 +","sys,MET Jet Syst 2 -","sys,MET Jet Syst 3 +","sys,MET Jet Syst 3 -","sys,MET Jet Syst 4 +","sys,MET Jet Syst 4 -","sys,MET Jet Syst 5 +","sys,MET Jet Syst 5 -","sys,MET Jet Syst 6 +","sys,MET Jet Syst 6 -","sys,MET Jet Syst 7 +","sys,MET Jet Syst 7 -","sys,MET Jet Syst 8 +","sys,MET Jet Syst 8 -","sys,MET Jet Syst 9 +","sys,MET Jet Syst 9 -","sys,MET Jet Syst 10 +","sys,MET Jet Syst 10 -","sys,MET Jet Syst 11 +","sys,MET Jet Syst 11 -","sys,MET Jet Syst 12 +","sys,MET Jet Syst 12 -","sys,MET Jet Syst 13 +","sys,MET Jet Syst 13 -","sys,WW +","sys,WW -","sys,WZ +","sys,WZ -","sys,ZZ +","sys,ZZ -","sys,Wtaunu +","sys,Wtaunu -","sys,Ztautau +","sys,Ztautau -","sys,Zmumu +","sys,Zmumu -","sys,ttbar +","sys,ttbar -","sys,photon +","sys,photon -","sys,single top +","sys,single top -","sys,Z-vertex +","sys,Z-vertex -","sys,PDF CT14 +","sys,PDF CT14 -","sys,PDF MSTW +","sys,PDF MSTW -","sys,Pileup +","sys,Pileup -","sys,Modelling +","sys,Modelling -","sys,MJ - Extrap Bkg +","sys,MJ - Extrap Bkg -","sys,MJ - Method Corr +","sys,MJ - Method Corr -","sys,MJ - Method Uncorr +","sys,MJ - Method Uncorr -","sys,MJ - Uncorr +","sys,MJ - Uncorr -","sys,F/B Compatibility +","sys,F/B Compatibility -","sys,MC stat. unc +","sys,MC stat. unc -",stat +,stat -
0.105,0.0,0.21,494,0.03,-0.03,-0.01,0.01,-0.06,0.06,0.0,-0.0,0.03,-0.03,0.0,-0.0,-0.37,0.37,-0.02,0.02,-0.02,0.02,-0.1,0.1,-0.08,0.08,0.26,-0.26,0.28,-0.28,0.12,-0.12,-0.03,0.03,0.0,-0.0,0.0,-0.0,-0.01,0.01,0.01,-0.01,0.03,-0.03,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.03,0.03,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.05,0.05,-0.05,0.05,-0.0,0.0,-0.01,0.01,0.02,-0.02,-0.01,0.01,-0.01,0.01,-0.12,0.12,0.47,-0.47,-0.42,0.42,-0.12,0.12,-0.12,0.12,-0.11,0.11,0.0,-0.0,0.18,-0.18,0.07,-0.07
0.315,0.21,0.42,490,0.0,-0.0,0.01,-0.01,-0.05,0.05,0.01,-0.01,0.04,-0.04,0.0,-0.0,-0.16,0.16,0.01,-0.01,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.25,-0.25,0.33,-0.33,0.11,-0.11,-0.02,0.02,-0.0,0.0,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.02,0.02,0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.05,0.05,-0.05,0.05,-0.0,0.0,-0.01,0.01,0.01,-0.01,-0.0,0.0,0.0,-0.0,-0.08,0.08,0.47,-0.47,-0.39,0.39,-0.07,0.07,-0.07,0.07,-0.1,0.1,0.0,-0.0,0.14,-0.14,0.06,-0.06
0.525,0.42,0.63,486,0.02,-0.02,-0.01,0.01,-0.04,0.04,0.04,-0.04,0.0,-0.0,0.0,-0.0,-0.19,0.19,0.01,-0.01,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.26,-0.26,0.39,-0.39,0.1,-0.1,-0.02,0.02,-0.01,0.01,-0.01,0.01,-0.0,0.0,0.01,-0.01,0.03,-0.03,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.02,0.02,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.07,0.07,-0.05,0.05,-0.0,0.0,-0.01,0.01,0.01,-0.01,0.01,-0.01,-0.0,0.0,-0.1,0.1,0.48,-0.48,-0.39,0.39,-0.07,0.07,-0.07,0.07,-0.09,0.09,0.39,-0.39,0.14,-0.14,0.06,-0.06
0.735,0.63,0.84,474,0.02,-0.02,0.01,-0.01,-0.05,0.05,0.03,-0.03,0.01,-0.01,0.0,-0.0,-0.19,0.19,0.0,-0.0,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.29,-0.29,0.47,-0.47,0.13,-0.13,-0.03,0.03,0.0,-0.0,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.04,-0.04,0.0,-0.0,0.0,-0.0,-0.04,0.04,-0.02,0.02,0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.1,0.1,-0.04,0.04,-0.0,0.0,-0.01,0.01,0.01,-0.01,0.02,-0.02,0.02,-0.02,-0.14,0.14,0.55,-0.55,-0.4,0.4,-0.09,0.09,-0.09,0.09,-0.1,0.1,0.0,-0.0,0.16,-0.16,0.07,-0.07
0.9450000000000001,0.84,1.05,465,0.01,-0.01,-0.01,0.01,-0.06,0.06,-0.01,0.01,-0.01,0.01,0.0,-0.0,-0.18,0.18,-0.0,0.0,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.33,-0.33,0.42,-0.42,0.14,-0.14,-0.02,0.02,-0.0,0.0,0.01,-0.01,0.0,-0.0,0.01,-0.01,0.04,-0.04,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.03,0.03,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.12,0.12,-0.0,0.0,-0.14,0.14,-0.04,0.04,-0.0,0.0,-0.01,0.01,0.01,-0.01,0.03,-0.03,0.03,-0.03,-0.11,0.11,0.67,-0.67,-0.34,0.34,-0.09,0.09,-0.09,0.09,-0.1,0.1,0.22,-0.22,0.16,-0.16,0.07,-0.07
1.21,1.05,1.37,456,0.01,-0.01,0.0,-0.0,-0.09,0.09,0.01,-0.01,-0.03,0.03,0.0,-0.0,-0.19,0.19,0.02,-0.02,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.33,-0.33,0.51,-0.51,0.12,-0.12,-0.02,0.02,-0.0,0.0,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.02,-0.02,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.01,0.01,0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.2,0.2,-0.04,0.04,-0.0,0.0,-0.01,0.01,0.03,-0.03,0.02,-0.02,0.02,-0.02,-0.11,0.11,0.73,-0.73,-0.31,0.31,-0.12,0.12,-0.12,0.12,-0.08,0.08,0.24,-0.24,0.1,-0.1,0.05,-0.05
1.445,1.37,1.52,440,-0.05,0.05,-0.03,0.03,-0.09,0.09,0.0,-0.0,0.01,-0.01,0.0,-0.0,-0.17,0.17,0.02,-0.02,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.37,-0.37,0.49,-0.49,0.13,-0.13,-0.04,0.04,-0.01,0.01,-0.02,0.02,-0.01,0.01,0.01,-0.01,-0.04,0.04,-0.03,0.03,-0.0,0.0,-0.0,0.0,-0.04,0.04,-0.03,0.03,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.12,0.12,-0.0,0.0,-0.25,0.25,-0.03,0.03,-0.0,0.0,-0.01,0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.09,0.09,0.68,-0.68,-0.34,0.34,-0.07,0.07,-0.07,0.07,-0.11,0.11,0.0,-0.0,0.14,-0.14,0.07,-0.07
1.63,1.52,1.74,427,-0.02,0.02,-0.03,0.03,-0.08,0.08,0.01,-0.01,-0.02,0.02,0.0,-0.0,-0.17,0.17,0.02,-0.02,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.33,-0.33,0.49,-0.49,0.12,-0.12,-0.03,0.03,-0.0,0.0,0.01,-0.01,-0.0,0.0,0.01,-0.01,0.04,-0.04,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.02,0.02,0.01,-0.01,0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.3,0.3,-0.03,0.03,-0.0,0.0,-0.01,0.01,0.02,-0.02,0.03,-0.03,0.03,-0.03,-0.12,0.12,0.65,-0.65,-0.29,0.29,-0.23,0.23,-0.23,0.23,-0.09,0.09,0.16,-0.16,0.12,-0.12,0.06,-0.06
1.845,1.74,1.95,410,-0.05,0.05,-0.03,0.03,-0.09,0.09,0.01,-0.01,0.03,-0.03,0.0,-0.0,-0.23,0.23,-0.01,0.01,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.36,-0.36,0.56,-0.56,0.12,-0.12,-0.03,0.03,-0.01,0.01,-0.01,0.01,-0.0,0.0,0.01,-0.01,0.06,-0.06,0.04,-0.04,0.0,-0.0,0.0,-0.0,-0.02,0.02,-0.04,0.04,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.11,0.11,-0.0,0.0,-0.36,0.36,-0.02,0.02,-0.0,0.0,-0.01,0.01,0.03,-0.03,0.02,-0.02,0.02,-0.02,-0.11,0.11,0.74,-0.74,-0.29,0.29,-0.22,0.22,-0.22,0.22,-0.09,0.09,0.34,-0.34,0.12,-0.12,0.06,-0.06
2.065,1.95,2.18,389,0.02,-0.02,-0.01,0.01,-0.12,0.12,0.0,-0.0,0.04,-0.04,0.0,-0.0,-0.23,0.23,-0.04,0.04,-0.02,0.02,-0.11,0.11,-0.02,0.02,0.3,-0.3,0.58,-0.58,0.13,-0.13,-0.03,0.03,-0.01,0.01,-0.01,0.01,-0.0,0.0,0.01,-0.01,0.05,-0.05,0.03,-0.03,0.0,-0.0,0.0,-0.0,-0.02,0.02,-0.03,0.03,-0.0,0.0,-0.0,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.12,0.12,-0.0,0.0,-0.42,0.42,-0.02,0.02,-0.0,0.0,-0.0,0.0,0.03,-0.03,0.03,-0.03,0.03,-0.03,-0.15,0.15,0.95,-0.95,-0.23,0.23,-0.08,0.08,-0.08,0.08,-0.09,0.09,0.39,-0.39,0.13,-0.13,0.06,-0.06
