NMC 356 0.87039 0.88267 2.79157 0.86998
NMCPD 132 0.78019 0.78939 1.30930 0.79919
NMC 224 0.92354 0.93763 3.66505 0.91170
SLAC 74 0.73837 0.74007 3.92971 0.74834
SLACP 37 0.60348 0.59654 4.19889 0.63275
SLACD 37 0.82794 0.82950 3.85636 0.83063
BCDMS 581 0.93568 0.93784 3.78754 0.93432
BCDMSP 333 1.02508 1.02729 4.90135 1.03931
BCDMSD 248 0.80855 0.80876 2.80655 0.79607
HERA1AV 592 1.04741 1.05097 23.36472 1.04992
HERA1NCEP 379 1.14061 1.14517 34.36597 1.14569
HERA1NCEM 145 0.85836 0.86017 4.56755 0.85437
HERA1CCEP 34 0.79457 0.79641 1.46028 0.79120
HERA1CCEM 34 1.16711 1.16984 1.41778 1.15521
CHORUS 862 1.06723 1.07185 1.28245 1.07175
CHORUSNU 431 0.98425 0.98678 1.08500 0.98825
CHORUSNB 431 1.16687 1.17370 1.25746 1.16487
NTVDMN 79 0.84964 0.87061 4.04709 0.85461
NTVNUDMN 41 0.92025 0.95439 3.75791 0.82813
NTVNBDMN 38 0.78547 0.79000 4.47804 0.89124
ZEUSH2 127 1.03570 1.03722 9.56156 1.03429
Z06NC 90 1.15817 1.15962 12.59911 1.15500
Z06CC 37 0.73196 0.73329 2.16917 0.73756
HERAF2CHARM 47 0.80308 0.79924 3.52477 0.90625
DYE886 199 1.01696 1.02417 1.74769 1.05767
DYE886R 15 0.49790 0.48420 1.20907 0.63370
DYE886P 184 1.05927 1.06819 1.79159 1.09223
DYE605 119 1.03484 1.03487 1.12251 1.06914
CDF 118 0.97308 1.00028 3.08008 0.97540
CDFZRAP 29 1.46465 1.50575 1.46806 1.46804
CDFWASYM 13 1.86835 1.89364 7.24706 1.91063
CDFR2KT 76 0.64565 0.65613 0.90125 0.64864
D0 138 0.74838 0.74889 1.34102 0.70743
D0ZRAP 28 0.74514 0.73339 0.83321 0.77710
D0R2CON 110 0.72741 0.73913 0.82594 0.67289
ATLAS 179 0.65403 0.65181 3.21304 0.68711
ATLASWZRAP36PB 30 0.80491 0.81631 5.43203 0.79984
ATLASR04JETS36PB 90 0.62299 0.61924 1.41116 0.64517
ATLASR04JETS2P76TEV 59 0.71259 0.70783 1.38503 0.72451
CMS 11 0.82384 0.84517 7.72299 0.84161
LHCB 19 0.92147 0.90284 4.11304 1.03761
LHCBW36PB 10 1.15208 1.13504 3.59428 1.23560
LHCBZ940PB 9 0.66525 0.64483 4.68944 0.81762
