*******************************************************************************************
SetName = ATLAS1JET11
APPLgridName = ATLAS1JET11-R06-y-15-20.root
Author = Juan Rojo <juan.rojo@physics.ox.ac.uk>
Date = 17/06/2016
CodeUsed = applgrids
TheorySettings = scales of NLO calculation varied
(muR,muF) = (1,1)  (1,0.5)   (0.5,1.0)  (0.5,0.5)    (1,2.0)   (2.0,1.0)  (2.0,2.0) 
*******************************************************************************************
0	 2.13	-6.53
1	 2.65	-7.02
2	 2.56	-7.11
3	 2.6	-7.26
4	 2.52	-7.34
5	 2.83	-7.7
6	 2.84	-7.84
7	 2.6	-7.8
8	 2.86	-8.13
9	 2.71	-8.15
10	 2.63	-8.24
11	 2.61	-8.35
12	 2.72	-8.59
13	 2.23	-8.33
14	 2.35	-8.56
15	 2.2	-8.56
16	 2.22	-8.71
17	 1.91	-8.49
18	 1.99	-8.66
19	 1.77	-8.41
20	 1.83	-8.58
21	 1.54	-8.35
22	 0.905	-8.07
