*******************************************************************************************
SetName = CMSJETS11
APPLgridName = CMSJETS2011-R07-y_10_15.root
Author = Juan Rojo <juan.rojo@physics.ox.ac.uk>
Date = 17/06/2016
CodeUsed = applgrids
TheorySettings = scales of NLO calculation varied
(muR,muF) = (1,1)  (1,0.5)   (0.5,1.0)  (0.5,0.5)    (1,2.0)   (2.0,1.0)  (2.0,2.0) 
*******************************************************************************************
0	 3.73	-7.53
1	 3.76	-7.72
2	 3.97	-8.02
3	 3.88	-8.1
4	 3.89	-8.24
5	 4.01	-8.46
6	 3.96	-8.54
7	 4.01	-8.7
8	 4.06	-8.85
9	 4.04	-8.94
10	 4.04	-9.08
11	 4.13	-9.25
12	 4.08	-9.34
13	 4.05	-9.44
14	 3.95	-9.5
15	 3.99	-9.65
16	 3.87	-9.67
17	 3.82	-9.76
18	 4.09	-10.1
19	 3.95	-10.1
20	 3.87	-10.2
21	 3.84	-10.3
22	 3.82	-10.4
23	 3.82	-10.5
24	 3.73	-10.6
25	 3.86	-10.9
26	 3.67	-10.9
