#: table_doi: 10.17182/hepdata.12557.v1/t16
#: name: Table 16
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table16.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.18
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
8.75,0.36886,0.0049,-0.0049,0.00475,-0.00475,3.0%,-3.0%
10.25,0.36592,0.00476,-0.00476,0.0041,-0.0041,3.0%,-3.0%
11.75,0.36481,0.00406,-0.00406,0.00414,-0.00414,3.0%,-3.0%
13.25,0.36218,0.00424,-0.00424,0.00414,-0.00414,3.0%,-3.0%
15.0,0.35909,0.00408,-0.00408,0.00397,-0.00397,3.0%,-3.0%
17.0,0.3554,0.00445,-0.00445,0.00374,-0.00374,3.0%,-3.0%
19.0,0.34847,0.00752,-0.00752,0.00379,-0.00379,3.0%,-3.0%
21.5,0.35422,0.00361,-0.00361,0.00312,-0.00312,3.0%,-3.0%
24.5,0.35693,0.00384,-0.00384,0.00272,-0.00272,3.0%,-3.0%
28.0,0.36224,0.00416,-0.00416,0.00248,-0.00248,3.0%,-3.0%
32.5,0.35007,0.0029,-0.0029,0.00208,-0.00208,3.0%,-3.0%
37.5,0.34507,0.0028,-0.0028,0.00159,-0.00159,3.0%,-3.0%
43.0,0.35017,0.0028,-0.0028,0.00139,-0.00139,3.0%,-3.0%
49.5,0.3402,0.00713,-0.00713,0.00213,-0.00213,3.0%,-3.0%
57.0,0.34527,0.00481,-0.00481,0.00142,-0.00142,3.0%,-3.0%
65.5,0.34112,0.00513,-0.00513,0.0014,-0.0014,3.0%,-3.0%

