#: table_doi: 10.17182/hepdata.12557.v1/t22
#: name: Table 22
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table22.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.65
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
13.25,0.0439,0.00187,-0.00187,0.0048,-0.0048,3.0%,-3.0%
15.0,0.04265,0.00166,-0.00166,0.00404,-0.00404,3.0%,-3.0%
17.0,0.04144,0.0014,-0.0014,0.00369,-0.00369,3.0%,-3.0%
19.0,0.04205,0.00152,-0.00152,0.00324,-0.00324,3.0%,-3.0%
21.5,0.0405,0.00138,-0.00138,0.00274,-0.00274,3.0%,-3.0%
24.5,0.04017,0.00107,-0.00107,0.00206,-0.00206,3.0%,-3.0%
28.0,0.03831,0.00107,-0.00107,0.00175,-0.00175,3.0%,-3.0%
32.5,0.0374,0.00077,-0.00077,0.00208,-0.00208,3.0%,-3.0%
37.5,0.03656,0.00087,-0.00087,0.00185,-0.00185,3.0%,-3.0%
43.0,0.03547,0.00066,-0.00066,0.00182,-0.00182,3.0%,-3.0%
49.5,0.03476,0.00066,-0.00066,0.00159,-0.00159,3.0%,-3.0%
57.0,0.0331,0.00064,-0.00064,0.00133,-0.00133,3.0%,-3.0%
65.5,0.03201,0.00068,-0.00068,0.00109,-0.00109,3.0%,-3.0%
75.0,0.03215,0.00075,-0.00075,0.00092,-0.00092,3.0%,-3.0%
86.0,0.03231,0.00092,-0.00092,0.00087,-0.00087,3.0%,-3.0%
99.0,0.03155,0.00097,-0.00097,0.00076,-0.00076,3.0%,-3.0%
115.5,0.02865,0.001,-0.001,0.00061,-0.00061,3.0%,-3.0%
137.5,0.02884,0.00112,-0.00112,0.00048,-0.00048,3.0%,-3.0%
175.0,0.02729,0.00189,-0.00189,0.00052,-0.00052,3.0%,-3.0%
230.0,0.02975,0.00249,-0.00249,0.00047,-0.00047,3.0%,-3.0%

