#: table_doi: 10.17182/hepdata.12557.v1/t18
#: name: Table 18
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table18.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.275
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
10.25,0.30476,0.00537,-0.00537,0.00518,-0.00518,3.0%,-3.0%
11.75,0.29971,0.00546,-0.00546,0.00374,-0.00374,3.0%,-3.0%
13.25,0.30167,0.00464,-0.00464,0.00329,-0.00329,3.0%,-3.0%
15.0,0.30664,0.00428,-0.00428,0.00326,-0.00326,3.0%,-3.0%
17.0,0.30151,0.00446,-0.00446,0.00317,-0.00317,3.0%,-3.0%
19.0,0.29265,0.00467,-0.00467,0.00307,-0.00307,3.0%,-3.0%
21.5,0.29675,0.00433,-0.00433,0.0031,-0.0031,3.0%,-3.0%
24.5,0.28413,0.00349,-0.00349,0.00111,-0.00111,3.0%,-3.0%
28.0,0.28862,0.00264,-0.00264,0.00139,-0.00139,3.0%,-3.0%
32.5,0.28393,0.0025,-0.0025,0.00113,-0.00113,3.0%,-3.0%
37.5,0.27916,0.00228,-0.00228,0.00102,-0.00102,3.0%,-3.0%
43.0,0.27419,0.00234,-0.00234,0.00099,-0.00099,3.0%,-3.0%
49.5,0.27093,0.00253,-0.00253,0.00132,-0.00132,3.0%,-3.0%
57.0,0.27517,0.00248,-0.00248,0.00104,-0.00104,3.0%,-3.0%
65.5,0.26869,0.00289,-0.00289,0.00128,-0.00128,3.0%,-3.0%
75.0,0.26879,0.00313,-0.00313,0.00175,-0.00175,3.0%,-3.0%
86.0,0.26182,0.00512,-0.00512,0.00078,-0.00078,3.0%,-3.0%
99.0,0.26097,0.00637,-0.00637,0.00078,-0.00078,3.0%,-3.0%
115.5,0.26278,0.00704,-0.00704,0.0008,-0.0008,3.0%,-3.0%

