#: table_doi: 10.17182/hepdata.12557.v1/t14
#: name: Table 14
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table14.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.1
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
7.5,0.38468,0.00429,-0.00429,0.00485,-0.00485,3.0%,-3.0%
8.75,0.38926,0.00356,-0.00356,0.00532,-0.00532,3.0%,-3.0%
10.25,0.38958,0.00289,-0.00289,0.00514,-0.00514,3.0%,-3.0%
11.75,0.39066,0.00485,-0.00485,0.00516,-0.00516,3.0%,-3.0%
13.25,0.39239,0.00529,-0.00529,0.00482,-0.00482,3.0%,-3.0%
19.0,0.4018,0.00414,-0.00414,0.0035,-0.0035,3.0%,-3.0%
21.5,0.40171,0.00324,-0.00324,0.00393,-0.00393,3.0%,-3.0%
24.5,0.40528,0.00349,-0.00349,0.00336,-0.00336,3.0%,-3.0%
32.5,0.40558,0.00572,-0.00572,0.00452,-0.00452,3.0%,-3.0%
37.5,0.40695,0.00651,-0.00651,0.00341,-0.00341,3.0%,-3.0%

