#: table_doi: 10.17182/hepdata.12557.v1/t17
#: name: Table 17
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table17.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.225
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
10.25,0.3412,0.00482,-0.00482,0.00397,-0.00397,3.0%,-3.0%
11.75,0.33792,0.004,-0.004,0.00383,-0.00383,3.0%,-3.0%
13.25,0.33915,0.00419,-0.00419,0.00376,-0.00376,3.0%,-3.0%
15.0,0.33268,0.00389,-0.00389,0.00364,-0.00364,3.0%,-3.0%
17.0,0.32655,0.00416,-0.00416,0.0035,-0.0035,3.0%,-3.0%
19.0,0.32145,0.0045,-0.0045,0.00352,-0.00352,3.0%,-3.0%
21.5,0.31921,0.00423,-0.00423,0.00348,-0.00348,3.0%,-3.0%
24.5,0.32188,0.00425,-0.00425,0.00151,-0.00151,3.0%,-3.0%
28.0,0.32079,0.00277,-0.00277,0.00144,-0.00144,3.0%,-3.0%
32.5,0.32719,0.00311,-0.00311,0.00168,-0.00168,3.0%,-3.0%
37.5,0.31454,0.00256,-0.00256,0.00139,-0.00139,3.0%,-3.0%
43.0,0.31493,0.00249,-0.00249,0.00158,-0.00158,3.0%,-3.0%
49.5,0.31062,0.00248,-0.00248,0.00184,-0.00184,3.0%,-3.0%
57.0,0.31558,0.00282,-0.00282,0.00106,-0.00106,3.0%,-3.0%
65.5,0.31557,0.00474,-0.00474,0.0013,-0.0013,3.0%,-3.0%
75.0,0.30609,0.00505,-0.00505,0.00111,-0.00111,3.0%,-3.0%
86.0,0.30722,0.00542,-0.00542,0.0012,-0.0012,3.0%,-3.0%

