*******************************************************************************************
SetName = CMSJETS11
APPLgridName = CMSJETS2011-R07-y_15_20.root
Author = Juan Rojo <juan.rojo@physics.ox.ac.uk>
Date = 17/06/2016
CodeUsed = applgrids
TheorySettings = scales of NLO calculation varied
(muR,muF) = (1,1)  (1,0.25)   (0.25,1.0)  (0.25,0.25)    (1,4.0)   (4.0,1.0)  (4.0,4.0) 
*******************************************************************************************
0	 3.02	-16.7	1.7e+03
1	 3.37	-17.2	745
2	 3.79	-17.8	347
3	 3.97	-18	166
4	 4.19	-18.2	81.7
5	 4.41	-18.6	40.9
6	 4.59	-18.9	20.7
7	 4.66	-19.1	10.6
8	 4.76	-19.4	5.42
9	 4.98	-19.8	2.78
10	 4.83	-19.8	1.41
11	 4.83	-20.1	0.716
12	 4.89	-20.4	0.356
13	 4.89	-20.7	0.174
14	 4.17	-20.3	0.0823
15	 4.16	-20.6	0.0388
16	 4.32	-21	0.0176
17	 3.88	-23.1	0.00774
18	 3.17	-26.3	0.00325
19	 3.23	-26.6	0.00132
20	 1.98	-31.8	0.0005
21	 2.13	-31.6	0.000183
22	 1.42	-34.8	6.04e-05
23	 0	-46.4	5.41e-06
