*******************************************************************************************
SetName = CMS1JET276TEV
APPLgridName = CMS1JET276TEV-R07_y_10-15.root
Author = Juan Rojo <juan.rojo@physics.ox.ac.uk>
Date = 17/06/2016
CodeUsed = applgrids
TheorySettings = scales of NLO calculation varied
(muR,muF) = (1,1)  (1,0.25)   (0.25,1.0)  (0.25,0.25)    (1,4.0)   (4.0,1.0)  (4.0,4.0) 
*******************************************************************************************
0	 3.59	-19.3	3.42e+03
1	 3.5	-21.1	1.54e+03
2	 3.87	-20.5	624
3	 4.35	-20.8	238
4	 4.6	-21.3	92
5	 4.98	-21.9	37.5
6	 5.13	-22.4	15.7
7	 5.53	-23	6.65
8	 5.91	-23.6	2.8
9	 5.79	-23.8	1.16
10	 5.79	-24.2	0.474
11	 6.03	-24.7	0.191
12	 6.31	-25.2	0.0735
13	 6.13	-25.4	0.0271
14	 6.73	-26.2	0.00978
15	 7.03	-26.7	0.00325
