#: table_doi: 10.17182/hepdata.46965.v1/t1
#: name: Table 1
#: description: The charm contribution to the nucleon structure function from the dimuon data.

#: data_file: Table1.yaml
#: keyword reactions: MU+ NUCLEON --> MU+ CHARM CHARMBAR X | MU+ NUCLEON --> MU+ CQ CQBAR X | MU+ NUCLEON --> MU+ MU- X | MU+ NUCLEON --> MU+ MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Di-Muon Production | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 21.677
#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0032 TO 0.0056
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,0.00543,0.00035,-0.00035
2.47,1.78,3.16,-,0,0
4.390000000000001,3.16,5.62,-,0,0
7.8100000000000005,5.62,10.0,-,0,0
13.9,10.0,17.8,-,0,0
24.700000000000003,17.8,31.6,-,0,0
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0056 TO 0.0100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,0.00347,0.00058,-0.00058
2.47,1.78,3.16,0.0105,0.0006,-0.0006
4.390000000000001,3.16,5.62,-,0,0
7.8100000000000005,5.62,10.0,-,0,0
13.9,10.0,17.8,-,0,0
24.700000000000003,17.8,31.6,-,0,0
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0100 TO 0.0178
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,0.00627,0.00083,-0.00083
4.390000000000001,3.16,5.62,0.013,0.0007,-0.0007
7.8100000000000005,5.62,10.0,-,0,0
13.9,10.0,17.8,-,0,0
24.700000000000003,17.8,31.6,-,0,0
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0178 TO 0.0316
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,0.00243,0.00149,-0.00149
4.390000000000001,3.16,5.62,0.00824,0.00088,-0.00088
7.8100000000000005,5.62,10.0,0.0182,0.001,-0.001
13.9,10.0,17.8,-,0,0
24.700000000000003,17.8,31.6,-,0,0
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0316 TO 0.0562
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,-,0,0
4.390000000000001,3.16,5.62,0.00695,0.00322,-0.00322
7.8100000000000005,5.62,10.0,0.0107,0.0011,-0.0011
13.9,10.0,17.8,0.02,0.0013,-0.0013
24.700000000000003,17.8,31.6,-,0,0
43.900000000000006,31.6,56.2,-,0,0
78.1,56.2,100.0,-,0,0

#: PLAB [GeV],,,250.0
#: RE,,,MU+ NUCLEON --> MU+ CQ CQBAR X
#: SQRT(S) [GeV],,,21.677
#: X,,,0.0562 TO 0.100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,F2(NAME=CHARM),error +,error -
1.3900000000000001,1.0,1.78,-,0,0
2.47,1.78,3.16,-,0,0
4.390000000000001,3.16,5.62,-,0,0
