#: table_doi: 10.17182/hepdata.22831.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: Table3.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: D2SIG/DSQRTTAU/DYRAP
#: keyword phrases: Inclusive | Double Differential Cross Section | Rapidity Dependence | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: YRAP,0.0
SQRT(TAU),S*D2(SIG)/D(SQRT(TAU))/DYRAP [NB*GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1831,424.0,77.1,-77.1,15.0%,-15.0%,5.0%,-5.0%
0.1883,350.0,57.7,-57.7,15.0%,-15.0%,5.0%,-5.0%
0.1935,363.0,55.7,-55.7,15.0%,-15.0%,5.0%,-5.0%
0.1986,248.0,34.0,-34.0,15.0%,-15.0%,5.0%,-5.0%
0.2038,208.0,26.9,-26.9,15.0%,-15.0%,5.0%,-5.0%
0.2089,212.0,23.4,-23.4,15.0%,-15.0%,5.0%,-5.0%
0.2141,148.0,13.3,-13.3,15.0%,-15.0%,5.0%,-5.0%
0.2192,144.0,11.9,-11.9,15.0%,-15.0%,5.0%,-5.0%
0.2244,143.0,11.1,-11.1,15.0%,-15.0%,5.0%,-5.0%
0.2296,114.0,7.69,-7.69,15.0%,-15.0%,5.0%,-5.0%
0.2708,39.7,3.05,-3.05,15.0%,-15.0%,5.0%,-5.0%
0.276,33.1,2.8,-2.8,15.0%,-15.0%,5.0%,-5.0%
0.2812,27.4,2.42,-2.42,15.0%,-15.0%,5.0%,-5.0%
0.2915,21.6,1.3,-1.3,15.0%,-15.0%,5.0%,-5.0%
0.3121,15.1,0.903,-0.903,15.0%,-15.0%,5.0%,-5.0%
0.3431,6.05,0.372,-0.372,15.0%,-15.0%,5.0%,-5.0%
0.3843,1.86,0.194,-0.194,15.0%,-15.0%,5.0%,-5.0%
0.4359,0.404,0.101,-0.101,15.0%,-15.0%,5.0%,-5.0%

