#: table_doi: 10.17182/hepdata.22831.v1/t6
#: name: Table 6
#: description: No description provided.
#: data_file: Table6.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: D2SIG/DSQRTTAU/DYRAP
#: keyword phrases: Inclusive | Double Differential Cross Section | Rapidity Dependence | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: YRAP,0.3
SQRT(TAU),S*D2(SIG)/D(SQRT(TAU))/DYRAP [NB*GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1831,419.0,98.8,-98.8,15.0%,-15.0%,5.0%,-5.0%
0.1883,396.0,89.7,-89.7,15.0%,-15.0%,5.0%,-5.0%
0.1935,331.0,70.2,-70.2,15.0%,-15.0%,5.0%,-5.0%
0.1986,377.0,79.3,-79.3,15.0%,-15.0%,5.0%,-5.0%
0.2038,401.0,84.8,-84.8,15.0%,-15.0%,5.0%,-5.0%
0.2089,193.0,17.1,-17.1,15.0%,-15.0%,5.0%,-5.0%
0.2141,153.0,12.7,-12.7,15.0%,-15.0%,5.0%,-5.0%
0.2192,151.0,12.6,-12.6,15.0%,-15.0%,5.0%,-5.0%
0.2244,134.0,10.4,-10.4,15.0%,-15.0%,5.0%,-5.0%
0.2296,149.0,11.6,-11.6,15.0%,-15.0%,5.0%,-5.0%
0.2708,59.5,5.31,-5.31,15.0%,-15.0%,5.0%,-5.0%
0.276,40.3,4.35,-4.35,15.0%,-15.0%,5.0%,-5.0%
0.2812,31.3,3.44,-3.44,15.0%,-15.0%,5.0%,-5.0%
0.2915,23.2,1.6,-1.6,15.0%,-15.0%,5.0%,-5.0%
0.3121,15.9,0.957,-0.957,15.0%,-15.0%,5.0%,-5.0%
0.3431,6.3,0.449,-0.449,15.0%,-15.0%,5.0%,-5.0%
0.3843,2.38,0.223,-0.223,15.0%,-15.0%,5.0%,-5.0%
0.4359,0.607,0.11,-0.11,15.0%,-15.0%,5.0%,-5.0%

