#: table_doi: 10.17182/hepdata.22831.v1/t5
#: name: Table 5
#: description: No description provided.
#: data_file: Table5.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: D2SIG/DSQRTTAU/DYRAP
#: keyword phrases: Inclusive | Double Differential Cross Section | Rapidity Dependence | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: YRAP,0.2
SQRT(TAU),S*D2(SIG)/D(SQRT(TAU))/DYRAP [NB*GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1831,560.0,110.0,-110.0,15.0%,-15.0%,5.0%,-5.0%
0.1883,405.0,64.4,-64.4,15.0%,-15.0%,5.0%,-5.0%
0.1935,315.0,49.8,-49.8,15.0%,-15.0%,5.0%,-5.0%
0.1986,274.0,39.4,-39.4,15.0%,-15.0%,5.0%,-5.0%
0.2038,318.0,47.7,-47.7,15.0%,-15.0%,5.0%,-5.0%
0.2089,214.0,16.7,-16.7,15.0%,-15.0%,5.0%,-5.0%
0.2141,162.0,11.0,-11.0,15.0%,-15.0%,5.0%,-5.0%
0.2192,159.0,10.7,-10.7,15.0%,-15.0%,5.0%,-5.0%
0.2244,135.0,9.14,-9.14,15.0%,-15.0%,5.0%,-5.0%
0.2296,133.0,8.43,-8.43,15.0%,-15.0%,5.0%,-5.0%
0.2708,57.1,3.99,-3.99,15.0%,-15.0%,5.0%,-5.0%
0.276,41.1,3.42,-3.42,15.0%,-15.0%,5.0%,-5.0%
0.2812,34.5,2.96,-2.96,15.0%,-15.0%,5.0%,-5.0%
0.2915,25.1,1.51,-1.51,15.0%,-15.0%,5.0%,-5.0%
0.3121,16.4,0.981,-0.981,15.0%,-15.0%,5.0%,-5.0%
0.3431,6.43,0.386,-0.386,15.0%,-15.0%,5.0%,-5.0%
0.3843,2.2,0.178,-0.178,15.0%,-15.0%,5.0%,-5.0%
0.4359,0.56,0.0878,-0.0878,15.0%,-15.0%,5.0%,-5.0%

