#: table_doi: 10.17182/hepdata.84154.v2/t172
#: name: Table 172
#: description: Statistical correlation matrix between $p_{T}^{t,had}$ (rows) in the 4-jet inclusive configuration and $p_{T}^{t,had}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [0-60, 60-100, 100-150, 150-200, 200-260, 260-320, 320-400, 400-500] GeV Columns: [0-60, 60-100, 100-150, 150-200, 200-260, 260-320, 320-400, 400-500] GeV

#: data_file: Table_172.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_PT_TOPH_4J2B_PT_TOPH_4J2B (rows vs columns)
1,1,1
2,1,0.523003
3,1,-0.0865203
4,1,-0.230593
5,1,-0.123318
6,1,-0.0355471
7,1,-0.0183453
8,1,-0.00742052
1,2,0.523003
2,2,1
3,2,0.258974
4,2,-0.232733
5,2,-0.166392
6,2,-0.0568362
7,2,-0.0232129
8,2,-0.00928392
1,3,-0.0865203
2,3,0.258974
3,3,1
4,3,0.211745
5,3,-0.16322
6,3,-0.0930239
7,3,-0.0348095
8,3,-0.015387
1,4,-0.230593
2,4,-0.232733
3,4,0.211745
4,4,1
5,4,0.189977
6,4,-0.128108
7,4,-0.057691
8,4,-0.0144478
1,5,-0.123318
2,5,-0.166392
3,5,-0.16322
4,5,0.189977
5,5,1
6,5,0.146452
7,5,-0.112662
8,5,-0.028564
1,6,-0.0355471
2,6,-0.0568362
3,6,-0.0930239
4,6,-0.128108
5,6,0.146452
6,6,1
7,6,0.104131
8,6,-0.0939535
1,7,-0.0183453
2,7,-0.0232129
3,7,-0.0348095
4,7,-0.057691
5,7,-0.112662
6,7,0.104131
7,7,1
8,7,0.0584419
1,8,-0.00742052
2,8,-0.00928392
3,8,-0.015387
4,8,-0.0144478
5,8,-0.028564
6,8,-0.0939535
7,8,0.0584419
8,8,1

