#: table_doi: 10.17182/hepdata.84154.v2/t192
#: name: Table 192
#: description: Statistical correlation matrix between $\chi^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $\chi^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from relative spectra through the Bootstrap Method. The binning is the following: Rows: [1-1.4, 1.4-1.9, 1.9-2.5, 2.5-3.2, 3.2-4.2, 4.2-5.5, 5.5-7.2, 7.2-9.3, 9.3-12, 12-20] GeV Columns: [1-1.4, 1.4-1.9, 1.9-2.5, 2.5-3.2, 3.2-4.2, 4.2-5.5, 5.5-7.2, 7.2-9.3, 9.3-12, 12-20] GeV

#: data_file: Table_192.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_CHI_TTBAR_4J2B_CHI_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.5726
3,1,-0.176227
4,1,-0.503756
5,1,-0.575067
6,1,-0.506009
7,1,-0.395609
8,1,-0.280397
9,1,-0.197081
10,1,-0.102537
1,2,0.5726
2,2,1
3,2,0.360102
4,2,-0.317655
5,2,-0.597851
6,2,-0.624677
7,2,-0.526762
8,2,-0.3942
9,2,-0.282902
10,2,-0.152255
1,3,-0.176227
2,3,0.360102
3,3,1
4,3,0.468048
5,3,-0.137452
6,3,-0.422459
7,3,-0.458119
8,3,-0.392157
9,3,-0.292893
10,3,-0.164939
1,4,-0.503756
2,4,-0.317655
3,4,0.468048
4,4,1
5,4,0.549568
6,4,-0.0147961
7,4,-0.256861
8,4,-0.303801
9,4,-0.255679
10,4,-0.152546
1,5,-0.575067
2,5,-0.597851
3,5,-0.137452
4,5,0.549568
5,5,1
6,5,0.580166
7,5,0.061804
8,5,-0.165104
9,5,-0.207343
10,5,-0.152325
1,6,-0.506009
2,6,-0.624677
3,6,-0.422459
4,6,-0.0147961
5,6,0.580166
6,6,1
7,6,0.599566
8,6,0.116545
9,6,-0.0937996
10,6,-0.142891
1,7,-0.395609
2,7,-0.526762
3,7,-0.458119
4,7,-0.256861
5,7,0.061804
6,7,0.599566
7,7,1
8,7,0.633872
9,7,0.176801
10,7,-0.0899095
1,8,-0.280397
2,8,-0.3942
3,8,-0.392157
4,8,-0.303801
5,8,-0.165104
6,8,0.116545
7,8,0.633872
8,8,1
9,8,0.676073
10,8,0.106794
1,9,-0.197081
2,9,-0.282902
3,9,-0.292893
4,9,-0.255679
5,9,-0.207343
6,9,-0.0937996
7,9,0.176801
8,9,0.676073
9,9,1
10,9,0.516462
1,10,-0.102537
2,10,-0.152255
3,10,-0.164939
4,10,-0.152546
5,10,-0.152325
6,10,-0.142891
7,10,-0.0899095
8,10,0.106794
9,10,0.516462
10,10,1

