 0.00 0.21    0.21 0.42    0.42 0.63   0.63 0.84   0.84 1.05   1.05 1.37   1.37 1.52    1.52 1.74   1.74 1.95   1.95 2.18   2.18 2.50 
      446.32      440.26      455.06      439.81      428.07      418.89      387.27      384.03      375.29      357.39      330.99
                    1.16        1.08        1.04        1.12        1.12        0.90        1.79        1.11        1.17        1.13        1.18
                   1.29        1.13        1.10        1.30        1.30        0.95        1.35        0.93        1.03        0.98        1.10
                    1.30        1.29        1.31        1.35        1.36        1.37        1.67        1.47        1.48        1.50        1.64
                     2.16        2.02        2.00        2.18        2.19        1.90        2.80        2.06        2.15        2.12        2.30
       1          0.10        0.10        0.10        0.10        0.10        0.10        0.10        0.10        0.10        0.10        0.10
       2          0.18        0.18        0.18        0.18        0.18        0.18        0.18        0.18        0.18        0.18        0.18
       3          0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23        0.23
       4          0.19        0.19        0.19        0.19        0.19        0.19        0.19        0.19        0.19        0.19        0.19
       5          0.03        0.03        0.04        0.04        0.03        0.04        0.05        0.04        0.05        0.04        0.06
       6         -0.01        0.00       -0.01       -0.01       -0.01        0.00       -0.02        0.00        0.00       -0.01        0.00
       7          0.04        0.05        0.06        0.05        0.04        0.05        0.04        0.06        0.04        0.04        0.14
       8          0.05        0.06        0.03        0.06        0.06        0.03        0.06        0.04        0.03        0.05        0.01
       9          0.07        0.07        0.07        0.08        0.05        0.11        0.12        0.11        0.10        0.10        0.02
      10          0.11        0.11        0.09        0.10        0.11        0.13        0.19        0.15        0.11        0.10        0.14
      11          0.17        0.18        0.16        0.18        0.21        0.18        0.20        0.20        0.19        0.20        0.35
      12          0.06        0.09        0.06        0.09        0.07        0.13        0.09        0.13        0.13        0.14        0.12
      13         -0.42       -0.42       -0.45       -0.49       -0.46       -0.49       -0.62       -0.53       -0.54       -0.52       -0.49
      14          0.08        0.05        0.05        0.08        0.09        0.11        0.14        0.11        0.13        0.15        0.16
      15         -0.18       -0.20       -0.20       -0.22       -0.23       -0.32       -0.25       -0.36       -0.35       -0.36       -0.36
      16         -0.29       -0.29       -0.31       -0.31       -0.27       -0.34       -0.38       -0.36       -0.37       -0.32       -0.31
      17         -0.57       -0.48       -0.52       -0.49       -0.61       -0.60       -0.81       -0.74       -0.61       -0.64       -0.84
      18          0.39        0.44        0.50        0.56        0.53        0.37        0.52        0.35        0.47        0.36        0.40
      19          0.30        0.37        0.32        0.38        0.26        0.33        0.25        0.23        0.33        0.15        0.08
      20          0.34        0.34        0.32        0.44        0.29        0.45        0.58        0.40        0.48        0.53        0.58
      21         -0.41       -0.38       -0.28       -0.36       -0.47       -0.47       -0.53       -0.43       -0.44       -0.56       -0.55
      22         -0.11       -0.08       -0.08       -0.03       -0.09       -0.02       -0.05       -0.01       -0.01       -0.02       -0.10
      23          0.12        0.17        0.19        0.14        0.07        0.03        0.01        0.01        0.11        0.06       -0.01
      24         -0.11       -0.18       -0.14       -0.09       -0.22       -0.15        0.00       -0.29       -0.23       -0.32       -0.45
      25         -0.02       -0.16       -0.14       -0.07       -0.12       -0.11        0.13       -0.22       -0.10       -0.04       -0.04
      26          0.51        0.41        0.50        0.32        0.36        0.25        0.19        0.26        0.36        0.42        0.24
      27         -0.08       -0.15       -0.18       -0.08       -0.07       -0.02       -0.25       -0.09       -0.08        0.00        0.09
      28          0.11        0.21        0.12        0.21        0.21        0.27        0.34        0.32        0.25        0.25        0.29
      29          0.07        0.07        0.05        0.07        0.06        0.09        0.12        0.08        0.08        0.09        0.09
      30         -0.16       -0.10       -0.10       -0.13       -0.14       -0.10        0.31        0.03       -0.01       -0.04        0.00


