#: table_doi: 10.17182/hepdata.83701.v1/t9
#: name: Table 9
#: description: Correlation matrix for the unfolded cross section.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> (W+ + W-) Z0 X
#: keyword observables: DSIG/DPTZ
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> (W+ + W-) Z0 X
#: SQRT(S) [GEV],,,,,13000.0
#: .,,,,,Correlation matrix
$p_{\mathrm{T}}^Z$ [GeV],$p_{\mathrm{T}}^Z$ [GeV] LOW,$p_{\mathrm{T}}^Z$ [GeV] HIGH,$p_{\mathrm{T}}^Z$ [GeV],$p_{\mathrm{T}}^Z$ [GeV] LOW,$p_{\mathrm{T}}^Z$ [GeV] HIGH,
15.0,0.0,30.0,15.0,0.0,30.0,1.00
45.0,30.0,60.0,15.0,0.0,30.0,0.66
75.0,60.0,90.0,15.0,0.0,30.0,0.62
105.0,90.0,120.0,15.0,0.0,30.0,0.48
135.0,120.0,150.0,15.0,0.0,30.0,0.42
185.0,150.0,220.0,15.0,0.0,30.0,0.34
610.0,220.0,1000.0,15.0,0.0,30.0,0.29
15.0,0.0,30.0,45.0,30.0,60.0,0.66
45.0,30.0,60.0,45.0,30.0,60.0,1.00
75.0,60.0,90.0,45.0,30.0,60.0,0.68
105.0,90.0,120.0,45.0,30.0,60.0,0.58
135.0,120.0,150.0,45.0,30.0,60.0,0.46
185.0,150.0,220.0,45.0,30.0,60.0,0.40
610.0,220.0,1000.0,45.0,30.0,60.0,0.34
15.0,0.0,30.0,75.0,60.0,90.0,0.62
45.0,30.0,60.0,75.0,60.0,90.0,0.68
75.0,60.0,90.0,75.0,60.0,90.0,1.00
105.0,90.0,120.0,75.0,60.0,90.0,0.52
135.0,120.0,150.0,75.0,60.0,90.0,0.45
185.0,150.0,220.0,75.0,60.0,90.0,0.39
610.0,220.0,1000.0,75.0,60.0,90.0,0.35
15.0,0.0,30.0,105.0,90.0,120.0,0.48
45.0,30.0,60.0,105.0,90.0,120.0,0.58
75.0,60.0,90.0,105.0,90.0,120.0,0.52
105.0,90.0,120.0,105.0,90.0,120.0,1.00
135.0,120.0,150.0,105.0,90.0,120.0,0.34
185.0,150.0,220.0,105.0,90.0,120.0,0.38
610.0,220.0,1000.0,105.0,90.0,120.0,0.35
15.0,0.0,30.0,135.0,120.0,150.0,0.42
45.0,30.0,60.0,135.0,120.0,150.0,0.46
75.0,60.0,90.0,135.0,120.0,150.0,0.45
105.0,90.0,120.0,135.0,120.0,150.0,0.34
135.0,120.0,150.0,135.0,120.0,150.0,1.00
185.0,150.0,220.0,135.0,120.0,150.0,0.28
610.0,220.0,1000.0,135.0,120.0,150.0,0.34
15.0,0.0,30.0,185.0,150.0,220.0,0.34
45.0,30.0,60.0,185.0,150.0,220.0,0.40
75.0,60.0,90.0,185.0,150.0,220.0,0.39
105.0,90.0,120.0,185.0,150.0,220.0,0.38
135.0,120.0,150.0,185.0,150.0,220.0,0.28
185.0,150.0,220.0,185.0,150.0,220.0,1.00
610.0,220.0,1000.0,185.0,150.0,220.0,0.37
15.0,0.0,30.0,610.0,220.0,1000.0,0.29
45.0,30.0,60.0,610.0,220.0,1000.0,0.34
75.0,60.0,90.0,610.0,220.0,1000.0,0.35
105.0,90.0,120.0,610.0,220.0,1000.0,0.35
135.0,120.0,150.0,610.0,220.0,1000.0,0.34
185.0,150.0,220.0,610.0,220.0,1000.0,0.37
610.0,220.0,1000.0,610.0,220.0,1000.0,1.00

