		180307-lr-nlo-xF0dot5xR0dot5_DISonly	180307-lr-nlo-xF0dot5xR0dot5_DISonly	180307-lr-nlo-xF0dot5xR0dot5_DISonly	180307-lr-nlo-xF0dot5xR0dot5_DISonly
		ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
experiment					
NMC	Total	134	1.275840083925299	134	1.275840083925299
NMC	NMCPD	64	0.8969963775538973	64	0.8969963775538974
NMC	NMC	70	1.6222114726077237	70	1.6222114726077237
SLAC	Total	12	0.921187961983522	12	0.921187961983522
SLAC	SLACP	6	0.6291865428517599	6	0.6291865428517599
SLAC	SLACD	6	1.336790907517176	6	1.336790907517176
BCDMS	Total	530	1.0617719184737093	530	1.0617719184737093
BCDMS	BCDMSP	296	1.0921790681001506	296	1.0921790681001506
BCDMS	BCDMSD	234	1.0227528850645673	234	1.0227528850645673
CHORUS	Total	430	0.9724794669093776	430	0.9724794669093776
CHORUS	CHORUSNU	215	0.8208881158060829	215	0.8208881158060829
CHORUS	CHORUSNB	215	1.1111720329747352	215	1.1111720329747352
NTVDMN	Total	41	0.6974685327197127	41	0.6974685327197127
NTVDMN	NTVNUDMN	25	0.8192891949173443	25	0.8192891949173443
NTVDMN	NTVNBDMN	16	0.49800850198453045	16	0.49800850198453045
HERACOMB	Total	967	1.1610957110548312	967	1.1610957110548312
HERACOMB	HERACOMBNCEM	159	1.5331945747513096	159	1.5331945747513096
HERACOMB	HERACOMBNCEP460	167	1.1625695018592428	167	1.1625695018592428
HERACOMB	HERACOMBNCEP575	206	0.8259457750617031	206	0.8259457750617031
HERACOMB	HERACOMBNCEP820	56	0.7411451417714859	56	0.7411451417714859
HERACOMB	HERACOMBNCEP920	298	1.246626368999403	298	1.246626368999403
HERACOMB	HERACOMBCCEM	42	1.0886945478801155	42	1.0886945478801155
HERACOMB	HERACOMBCCEP	39	1.3176280780665182	39	1.3176280780665182
HERAF2CHARM	Total	31	2.0175234132221576	31	2.0175234132221576
HERAF2CHARM	HERAF2CHARM	31	2.0175234132221576	31	2.0175234132221576
F2BOTTOM	Total	22	1.0331124073116915	22	1.0331124073116915
F2BOTTOM	H1HERAF2B	9	0.5664896691703505	9	0.5664896691703505
F2BOTTOM	ZEUSHERAF2B	13	1.35615891833262	13	1.35615891833262
